id,discurso,nome,siglaPartido,siglaUf
3601173,- A lista de presença registra na Casa o comparecimento de 135 Senhoras Deputadas e Senhores Deputados.,GILBERTO_NASCIMENTO,PSD,SP
3601173,Está aberta a sessão.,GILBERTO_NASCIMENTO,PSD,SP
3601173,Sob a proteção de Deus e em nome do povo brasileiro iniciamos nossos trabalhos.,GILBERTO_NASCIMENTO,PSD,SP
3601178,- Fica dispensada a leitura da ata da sessão anterior.,GILBERTO_NASCIMENTO,PSD,SP
3601187,- Passa-se às Breves Comunicações.,GILBERTO_NASCIMENTO,PSD,SP
3601187,"Breves Comunicações é o momento em que os Deputados têm, no mínimo, 3 minutos para fazer os seus pronunciamentos.",GILBERTO_NASCIMENTO,PSD,SP
3601187,"Hoje, nós vamos começar pelo Rio Grande do Norte. No Rio Grande do Norte, nós vamos ouvir o Deputado General Girão. Tem S.Exa. a palavra.",GILBERTO_NASCIMENTO,PSD,SP
3601171,"- Deputado Gilberto, é sempre uma honra podermos estar juntos aqui.",GENERAL_GIRÃO,PL,RN
3601171,"Eu gostaria de pedir, inicialmente, que a nossa voz tivesse eco no programa A Voz do Brasil.",GENERAL_GIRÃO,PL,RN
3601171,"Eu vou falar hoje sobre segurança pública, Deputado Coronel Chrisóstomo, que tem sido o item 1 da preocupação dos brasileiros há mais de duas décadas O item 1 é sempre segurança. É o povo preocupado com a sua segurança.",GENERAL_GIRÃO,PL,RN
3601171,"Nós sabemos que, nesses governos do PT, a segurança está sempre em uma situação caótica. E, no meu Rio Grande do Norte, não é diferente. Mas a minha fala hoje vai ser da fronteira do Brasil, do Mato Grosso. Um caso absurdo ocorreu em Cáceres, Mato Grosso. Um crime foi cometido na cidade de Porto Espiridião, na fronteira.",GENERAL_GIRÃO,PL,RN
3601147,"O que aconteceu? Houve uma prisão, a polícia de fronteira prendeu traficantes com 420 quilos de drogas — 420 quilos, maconha e cocaína —, e simplesmente o juiz federal de plantão liberou os caras.",GENERAL_GIRÃO,PL,RN
3601147,"Vejam só o absurdo! Na audiência de custódia o juiz federal liberou os caras. Esses caras foram liberados e foram soltos. Sorte da população do Mato Grosso, sorte nossa, que no mesmo diapasão, no dia seguinte, um juiz que não era de plantão decidiu pela revogação dessa soltura e determinou a prisão. Sorte nossa que a polícia do Mato Grosso conseguiu pegar os dois e prender de novo. Eles já haviam sido soltos.",GENERAL_GIRÃO,PL,RN
3601147,Cumprimento o Governador Mauro Mendes.,GENERAL_GIRÃO,PL,RN
3601147,"Governador, o senhor está de parabéns. O senhor fez uma fala dizendo: ""Ou as leis deste País são frouxas ou o Judiciário está falhando"". Governador, na lei é para ser preso. Se foi preso com droga, tem que ficar preso e não tem que ser solto, não. Não se justifica, desculpe-me o juiz de plantão, a soltura de traficantes, não se justifica. Estava com droga é prisão sem direito à soltura e sem direito à fiança. Os caras foram soltos.",GENERAL_GIRÃO,PL,RN
3601147,"O Governador na sua fala também cobrou aqui do Congresso o endurecimento das penas. Nós temos, sim, projeto de lei na Comissão de Segurança Pública e Combate ao Crime Organizado para que esse pessoal seja preso e as penas sejam ampliadas, sejam reforçadas, porque quem usa droga, quem consome, quem usa da sua vida para vender droga é porque realmente tem que apodrecer na cadeia, é assim que tem que ser.",GENERAL_GIRÃO,PL,RN
3601147,"Vamos lá! Eu quero dizer para vocês que um caso idêntico aconteceu no Rio Grande do Norte há uns 4 anos. Naquela oportunidade, um casal que foi preso em uma caminhonete carregando drogas, também mais de 500 quilos, foi solto por um juiz estadual durante a audiência de custódia. O Ministério Público recorreu. No dia seguinte, um desembargador determinou a prisão. Ocorre que os pombinhos já tinham voado para longe.",GENERAL_GIRÃO,PL,RN
3601147,"Meus amigos, audiência de custódia é só para cumprir a norma. O cara que é preso em flagrante, com droga, não tem que ter direito a ser solto em audiência de custódia. Será que teremos que ter uma lei especificando isso para o juiz entender que não pode soltar quem foi preso com drogas? Não é possível. O Brasil já tem um excesso de lei; mas, se for preciso uma lei específica nesse sentido, nós vamos criar essa lei, porque não pode soltar traficante de drogas.",GENERAL_GIRÃO,PL,RN
3601147,"Muito obrigado, Sr. Presidente.",GENERAL_GIRÃO,PL,RN
3601159,"- O.k., Deputado General Girão, lá do nosso Rio Grande do Norte.",GILBERTO_NASCIMENTO,PSD,SP
3601159,"Do Rio Grande do Norte, então, nós vamos à Paraíba com o Deputado Luiz Couto.",GILBERTO_NASCIMENTO,PSD,SP
3601159,"Deputado Luiz Couto, que é Deputado pela Paraíba, padre que fez um grande trabalho na região, se elegeu Deputado Federal e hoje representa muito bem o Estado da Paraíba aqui no Congresso Nacional, na Câmara Federal, tem V.Exa. a palavra.",GILBERTO_NASCIMENTO,PSD,SP
3601148,"- Obrigado, Presidente.",LUIZ_COUTO,PT,PB
3601148,"Eu tenho dois assuntos a tratar. O primeiro é sobre o problema da depressão e as suas consequências. Desde 2019, por conta de uma quantidade enorme de pessoas depressivas, o Poder Judiciário do Estado da Paraíba, através da Associação das Esposas dos Magistrados e das Magistradas, tem feito um trabalho e verificado que, a cada dia mais, cresce o número de pessoas que ficam em depressão, às vezes, até chegando à morte. Aí, a solidão aparece, assim como o desemprego, a rejeição, traumas na construção de masculinidade, como também o estresse, que são elementos.",LUIZ_COUTO,PT,PB
3601202,"Neste sentido, eu queria parabenizar a Associação das Esposas dos Magistrados do Paraíba pelo trabalho que está realizando.",LUIZ_COUTO,PT,PB
3601202,"Em segundo lugar, Sr. Presidente, quero tratar de outro tema, que é ação do Governo, que não está respeitando a questão dos Bahá'ís lá no Irã. Há mais de 40 anos, a comunidade Bahá'í no Irã é alvo de uma política persecutória, sistemática, estabelecida pelo Estado iraniano, apesar de ser a maior minoria religiosa não-muçulmana.",LUIZ_COUTO,PT,PB
3601202,"Neste sentido, há julgamentos sem respeito às sentenças de prisão, confisco de terras e propriedades, discurso de ódio, negação do direito à educação e dos direitos funerários. Por exemplo, Sr. Presidente, agora até as sepulturas — mais de 30 sepulturas novas, lá nos Bahá'ís falecidos, enterrados há apenas alguns meses em valas comuns, em Teerã — foram destruídas pelas autoridades iranianas. Isso é um desrespeito que tem meu repúdio.",LUIZ_COUTO,PT,PB
3601202,"Deixo meu apoio ao movimento dos iranianos, tanto lá como em todo o Brasil.",LUIZ_COUTO,PT,PB
3601202,"Um abraço, Sr. Presidente.",LUIZ_COUTO,PT,PB
3601202,"Peço que seja dada a devida publicidade na comunicação desta Casa, inclusive no programa A Voz do Brasil.",LUIZ_COUTO,PT,PB
3601230,"- O.k., Deputado Padre Luiz Couto, lá da nossa Paraíba.",GILBERTO_NASCIMENTO,PSD,SP
3601230,"E, agora, da Paraíba, nós vamos então a São Paulo, com a Deputada Tabata Amaral.",GILBERTO_NASCIMENTO,PSD,SP
3601230,"O Deputado Afonso Hamm havia solicitado 1 minuto, mas já que a Deputada já está na tribuna, vamos ouvir a Deputada Tabata Amaral. Em seguida, nós chegamos no Rio Grande do Sul e vamos ouvir S.Exa. por um minuto.",GILBERTO_NASCIMENTO,PSD,SP
3601230,"Tem V.Exa. a palavra, Deputada Tabata.",GILBERTO_NASCIMENTO,PSD,SP
3601203,"- Obrigada, Presidente.",TABATA_AMARAL,PSB,SP
3601203,"Venho falar aqui sobre algo muito grave e muito vergonhoso para nós que somos paulistanos. A Prefeitura de São Paulo ontem esteve nas principais manchetes do País. O motivo é um dos piores possíveis. Estou falando da Operação Fim de Linha, que foi deflagrada ontem por inúmeros órgãos e que retrata a maior operação policial da história contra a infiltração do crime organizado no poder público. É isso mesmo que eu estou dizendo. Duas empresas de ônibus, a Transwolff e a UPBus, estão sendo acusadas de fazer lavagem — nada mais, nada menos— do dinheiro que vem do tráfico de drogas e de roubos do PCC. Essas são duas das principais empresas que atuam no transporte público em São Paulo e esta situação é muito grave.",TABATA_AMARAL,PSB,SP
3601580,"Aqui, eu deixo alguns questionamentos a serem respondidos não para mim, mas para a população de São Paulo, pelo Prefeito. O primeiro deles é: por que temos duas empresas acusadas de ligação com o PCC sendo responsáveis pelo transporte de 700 mil pessoas? Por que, só no ano passado, essas empresas, que respondem a acusações tão graves, receberam 800 milhões de reais — quase 1 bilhão de reais — da Prefeitura?",TABATA_AMARAL,PSB,SP
3601580,"E eu vou além, e eis aqui, para mim, o ponto mais grave: por que Ricardo Nunes, Prefeito de São Paulo, escolheu a dedo uma dessas empresas que, novamente, é acusada de ligação com o crime organizado, para gerir seu principal projeto na zona sul da cidade? Não sei se todos sabem, mas o Prefeito vem defendendo com toda a força o transporte de barcos na represa Billings. E vejam só: sem transparência, sem licitação, sem nenhuma razão pública, ele escolheu justamente uma dessas empresas para ganhar — isso que ele quis fazer — mais um contrato da Prefeitura de São Paulo.",TABATA_AMARAL,PSB,SP
3601580,"Eu estou apresentando, Presidente, aqui no Congresso, um projeto de lei para tratar desse tipo de mercado de ilícitos, para que possamos rastrear empresas como essas duas e impedir que elas continuem assumindo contratos públicos.",TABATA_AMARAL,PSB,SP
3601580,"Eu também questionei, fiz um pedido aos órgãos de controle de São Paulo, para que impeçam que essa empresa, acusada de ligação com o PCC, assuma o transporte aquático na represa Billings.",TABATA_AMARAL,PSB,SP
3601580,"Peço a todos que continuem se posicionando, acompanhando, para que esse crime não seja abafado e para que todos os responsáveis, independente do tamanho político do cargo que ocupam, sejam responsabilizados e punidos.",TABATA_AMARAL,PSB,SP
3601580,"Não aguentamos mais, em São Paulo, ver tanto dinheiro público, tantos serviços tão essenciais na mão de máfias, que é o que essa denúncia tão grave vem apontando. Enquanto tivermos esse tipo de pessoa no poder, é impossível pensarmos em uma vida melhor para as pessoas.",TABATA_AMARAL,PSB,SP
3601580,"Entristece-me e me envergonha muito vir trazer essa notícia tão ruim da minha cidade de São Paulo — uma cidade tão grandiosa, a mais importante do nosso País. Entretanto, esse tipo de denúncia tem que ser levado a sério, não pode ser abafada, e não podemos parar até que todos os responsáveis sejam punidos.",TABATA_AMARAL,PSB,SP
3601580,"Obrigada, Presidente.",TABATA_AMARAL,PSB,SP
