document,Bormuth.GP
text1,51825284.854323894
text2,-460057.0567544548
text3,32015989.99753207
text4,5074948.806197399
text5,-232868.80013871085
text6,90276573.71451037
text7,3381141.2261229083
text8,8215797.092690622
text9,62511278.455775306
text10,95439988.79391772
text11,14298592.106417237
text12,48989949.738949485
text13,17268659.30710457
text14,-20089.621139101626
text15,12956789.908228481
text16,687130694.2186981
text17,15100049.859748919
text18,60171194.528802864
text19,-507868.34351922834
text20,12543114.970556805
text21,37281496.73242074
text22,1011741679.1382006
text23,-498710.9827375651
text24,185231846.91232473
text25,82588813.14419831
text26,85751685.29299529
text27,59806917.352458596
text28,27510836.365282368
text29,-523648.31876995275
text30,79040529.49630843
text31,4256957.60170803
text32,37539546.35135243
text33,96413944.57058792
text34,437950.51481562015
text35,-498710.9827375651
text36,73354239.1326459
text37,172110722.21498215
text38,561154460.1487875
text39,678921600.7979149
text40,493209613.20025694
text41,572445615.2152232
text42,171489559.2163524
text43,289839856.53088665
text44,-498710.9827375651
text45,7104063.155372079
text46,77861656.40644687
text47,1384532.350179279
text48,-498710.9827375651
text49,709758382.989738
text50,14786135.619662788
text51,473405030.48055243
text52,44534045.08976343
text53,15922695.03554227
text54,12233478.252402237
text55,1671830089.5615184
text56,171173929.6577085
text57,325409328.67052424
text58,18917936.218195915
text59,400365276.0418867
text60,139719544.42943433
text61,68713034.93582366
text62,2773488.1934400517
text63,-40960.83547462203
text64,4496592.457184006
text65,114299940.92364582
text66,21596663.05882614
text67,237714665.66253203
text68,54750108.4554666
text69,112507905.39169605
text70,49582939.961085774
text71,3879655.052587445
text72,-507308.3708883608
text73,5957100.063403909
text74,30167191.783504233
text75,120360521.29397309
text76,5769862.705899148
text77,699016575.7379014
text78,116193312.46116343
text79,38050103.02793036
text80,1376891427.6251984
text81,38648996.92898822
text82,10561392.04592442
text83,-507308.3708883608
text84,107359845.02869226
text85,144818863.80993885
text86,-470320.14505032555
text87,26186371.172530472
text88,458895551.04989076
text89,232771386.08690864
text90,1017026976.8934841
text91,12186521.01013688
text92,216324305.3846503
text93,-505872.93831573095
text94,25845035.824163802
text95,329346454.44507766
text96,155483.33445714816
text97,-507308.3708883608
text98,-166131.51408740057
text99,73212831.55129139
text100,-470320.14505032555
text101,-516050.7918625903
text102,247799266.27899858
text103,1134506.7769552537
text104,15505509.180329304
text105,300995267.1797726
text106,7499701.220607405
text107,98865444.86769111
text108,118692494.39912598
text109,86712037.14394124
text110,-507868.34351922834
text111,25550661.24627163
text112,21652410.675740816
text113,149350547.70599735
text114,-470320.14505032555
text115,-516050.7918625903
