"Var1","Freq"
"16h30 com",1
"1ª suplente",1
"1º de",1
"25º inscrito",1
"2ª turma",2
"2º da",1
"2º diz",1
"2º do",2
"2º nenhum",1
"2º presidente",1
"7º dia",1
"7º iii",1
"8º ou",1
"9º lugar",1
"a 1ª",1
"a a",2
"a absolvição",1
"a ação",2
"à ação",1
"a aceitação",1
"a achar",1
"a acompanham",1
"a acompanhar",1
"a acusações",1
"a administrar",1
"à adpf",1
"a afiançabilidade",1
"a agentes",1
"a agricultura",3
"a agropecuária",2
"a ajuda",1
"a ajudar",1
"a alegação",1
"a alegria",1
"a algumas",1
"a amazônia",2
"a analisar",1
"a aneel",1
"a ao",1
"a aposentadoria",1
"a apreciação",2
"a aprovação",4
"à aprovação",1
"à arábia",1
"a área",3
"a argentina",1
"a arma",1
"a assessoria",2
"a associação",4
"a até",1
"a atenção",5
"a atender",1
"a atitude",1
"a atuação",4
"a atual",1
"a audiência",2
"à audiência",1
"a ausência",1
"a autorização",1
"a avenida",5
"a bahia",1
"à bahia",4
"a bancada",2
"a bandidagem",1
"a bandido",1
"à barra",1
"a bilhões",2
"a bolívia",1
"a brasília",2
"a busca",1
"à busca",1
"a cada",4
"a cadeia",3
"a caixa",12
"a câmara",7
"a câmara_dos_deputados",4
"à câmara_dos_deputados",3
"a camila",2
"a caminhada",1
"à caminhada",1
"a camiseta",1
"a caneta",1
"a capacidade",3
"a carreira",2
"a carteira",4
"a casa",6
"à casa",5
"a cassação",2
"à categoria",1
"a ccj",1
"a ccjc",1
"a ceee",1
"a censura",1
"a certeza",1
"a chegada",1
"a cidadania",1
"a cidade",11
"a cobertura",3
"a coerência",1
"a coletividade",1
"a comercialização",1
"a comissão",3
"a comissão_de_constituição_e_justiça",4
"a competência",1
"a compra",1
"à comunicação",2
"a comunidade",1
"a concessão",1
"a conduzir",1
"a conheci",1
"a conquista",1
"a consciência",2
"a conscientização",3
"à conscientização",1
"a consequência",1
"a conservação",1
"a constituição",35
"à constituição",3
"a construção",1
"a conta",2
"a contabilidade",1
"a contag",1
"a contar",1
"a continuidade",2
"a cópia",1
"a corporação",1
"a corrupção",1
"a cpi",1
"a criação",6
"a crimes",1
"a criminalidade",4
"a cris",1
"a crise",3
"a crítica",1
"a críticas",1
"a culpa",1
"a da",1
"a dar",1
"a de",2
"a decisão",8
"à decisão",2
"a decretação",2
"a dedo",1
"a defensoria",4
"a defesa",1
"à defesa",3
"a definir",1
"a delação",1
"a delicadeza",1
"a demanda",2
"a democracia",9
"à democracia",1
"a demonização",1
"a demonstração",1
"a dependência",1
"a depois",1
"a deputada",18
"à deputada",4
"a deputado",1
"a descoberta",1
"a desídia",1
"a destruição",1
"a deus",4
"a devida",2
"a dia",2
"a diferença",1
"a dimensão",1
"à discussão",1
"a disposição",1
"à disposição",1
"a distância",1
"a diversificação",1
"a divulgação",1
"a dizer",1
"a do",2
"a domingo",1
"a dona",2
"à dona",1
"a duas",1
"a e",1
"a é",1
"a economia",5
"à educação",2
"a elas",1
"a eles",1
"a elucidação",1
"a em",1
"à energia",1
"a enfermagem",4
"a engrenagem",1
"a entrar",2
"à época",1
"a equipe",1
"a espinha",1
"a esquerda",1
"a essa",3
"a essas",1
"a esse",2
"a esta",8
"a este",3
"a estratégia",1
"a ex",1
"a execução",1
"a existência",1
"a expectativa",1
"a expedição",2
"a exploração",1
"a extensão",2
"a extração",1
"a extrema",1
"a faixa",1
"a falta",3
"a família",5
"à família",1
"a favela",1
"a favor",7
"a fazer",1
"a federação",4
"à feira",1
"a felicidade",1
"à fiança",1
"a fiscalização",1
"a fisioterapia",1
"a flagrância",1
"a força",1
"a frase",1
"à frente",3
"a fuga",1
"a garantia",3
"a generosidade",1
"a genética",1
"a geração",1
"a gestão",1
"a grande",1
"a gravidade",1
"à greve",1
"à gripe",1
"a guarda",1
"a habitação",1
"a haver",1
"à higidez",1
"a honra",4
"a imagem",1
"a implantação",1
"a importância",5
"a imprensa",6
"à imprensa",1
"a imunidade",4
"a inafiançabilidade",1
"a inauguração",1
"a inclusão",4
"a incompetência",1
"a independência",1
"a indispensável",1
"a ineficiência",1
"a infiltração",1
"a instalação",2
"a instituição",1
"a internet",1
"à internet",1
"a inundação",1
"a investigação",4
"a isso",2
"a jessica",1
"a jô",1
"a justiça",9
"a juventude",2
"a legislação",2
"a lei",12
"a leitura",3
"a lembrança",1
"a ler",1
"a liberação",1
"a liberdade",4
"à liberdade",1
"a liberdade_de_expressão",1
"a licença",1
"a limpo",1
"a lista",3
"a literalidade",1
"a loteria",3
"a luta",1
"à luta",2
"a maestria",1
"a maior",10
"a maioria",1
"a mais",1
"a manifestação",5
"a manutenção",5
"à manutenção",1
"a mão",5
"a marielle",2
"a matéria",3
"a média",1
"a melhor",1
"a memória",2
"à memória",1
"a mensagem",2
"a mesa",6
"à mesa",2
"a mesma",2
"a meu",1
"a micareta",2
"a milícia",4
"a milícias",1
"a minas",1
"a minha",16
"à minha",1
"a ministra",1
"a minuto",1
"a misericórdia",1
"a missa",1
"a missão",1
"a mobilidade",1
"à mobilidade",1
"a modalidade",1
"a moradia",2
"à moradia",2
"a morte",2
