"";"X";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9"
"1";1;0;0;0;0;0;0;4;4;4
"2";2;0;0;0;0;0;0;4;4;4
"3";3;0;0;0;0;0;0;0;0;1
"4";4;0;0;0;0;0;0;0;0;0
"5";5;0;0;0;0;0;0;0;0;0
"6";6;0;0;0;0;0;0;0;0;0
"7";7;0;0;0;0;0;0;4;4;4
"8";8;0;0;0;0;0;0;0;0;0
"9";9;0;0;0;0;0;0;0;3;3
"10";10;0;0;0;0;0;0;0;0;1
"11";11;0;0;0;0;0;0;0;0;1
"12";12;0;0;0;0;0;0;0;0;1
"13";13;0;0;0;0;0;0;0;3;3
"14";14;0;0;0;0;0;0;0;0;1
"15";15;0;0;0;0;0;0;0;0;1
"16";16;0;0;0;0;0;0;0;0;0
"17";17;0;0;0;0;0;0;0;0;0
"18";18;0;0;0;0;0;0;4;4;4
"19";19;0;0;0;0;0;0;0;2;2
"20";20;0;0;0;0;0;0;0;3;3
"21";21;0;0;0;0;0;0;0;3;3
"22";22;0;0;0;0;0;0;0;3;3
"23";23;0;0;0;0;0;0;4;4;4
"24";24;0;0;0;0;0;0;0;0;0
"25";25;0;0;0;0;0;0;0;0;0
"26";26;0;0;0;0;0;0;0;2;2
"27";27;5;5;5;5;5;5;5;5;5
"28";28;5;5;5;5;5;5;5;5;5
"29";29;0;0;0;0;0;0;0;2;2
"30";30;0;0;0;0;0;0;0;2;2
"31";31;0;0;0;0;0;0;0;2;2
"32";32;0;0;0;0;0;0;0;2;2
"33";33;0;0;0;0;0;0;0;3;3
"34";34;0;0;0;0;0;0;0;2;2
"35";35;0;0;0;0;0;0;0;0;1
"36";36;0;0;0;0;0;0;0;2;2
"37";37;0;0;0;0;0;0;0;2;2
"38";38;0;0;0;0;0;0;0;2;2
"39";39;5;5;5;5;5;5;5;5;5
"40";40;5;5;5;5;5;5;5;5;5
"41";41;0;0;0;0;0;0;0;2;2
"42";42;0;0;0;0;0;0;0;2;2
"43";43;0;0;0;0;0;0;0;2;2
"44";44;0;0;0;0;0;0;0;3;3
"45";45;0;0;0;0;0;0;0;3;3
"46";46;0;0;0;0;0;0;0;2;2
"47";47;0;0;0;0;0;0;4;4;4
"48";48;0;0;0;0;0;0;0;2;2
"49";49;0;0;0;0;0;0;0;2;2
"50";50;0;0;0;0;0;0;0;2;2
"51";51;0;0;0;0;0;0;0;2;2
"52";52;0;0;0;0;0;0;0;2;2
"53";53;0;0;0;0;0;0;0;2;2
"54";54;0;0;0;0;0;0;0;2;2
"55";55;0;0;0;0;0;0;0;2;2
"56";56;0;0;0;0;0;0;0;2;2
"57";57;0;0;0;0;0;0;0;2;2
"58";58;0;0;0;0;0;0;0;3;3
"59";59;0;0;0;0;0;0;0;3;3
"60";60;0;0;0;0;0;0;0;3;3
"61";61;0;0;0;0;0;0;0;3;3
"62";62;0;0;0;0;0;0;0;3;3
"63";63;0;0;0;0;0;0;0;3;3
"64";64;0;0;0;0;0;0;0;3;3
"65";65;0;0;0;0;0;0;0;0;0
"66";66;0;0;0;0;0;0;0;0;0
"67";67;0;0;0;0;0;0;0;0;0
"68";68;5;5;5;5;5;5;5;5;5
"69";69;0;0;0;0;0;0;0;3;3
"70";70;0;0;0;0;0;0;0;2;2
"71";71;0;0;0;0;0;0;0;2;2
"72";72;0;0;0;0;0;0;0;0;1
"73";73;0;0;0;0;0;0;0;0;1
"74";74;0;0;0;0;0;0;0;0;1
"75";75;0;0;0;0;0;0;0;0;0
"76";76;0;0;0;0;0;0;0;0;0
"77";77;0;0;0;0;0;0;0;0;0
"78";78;0;0;0;0;0;0;0;3;3
"79";79;0;0;0;0;0;0;0;3;3
"80";80;0;0;0;0;0;0;0;3;3
"81";81;0;0;0;0;0;0;0;3;3
"82";82;0;0;0;0;0;0;0;3;3
"83";83;0;0;0;0;0;0;0;3;3
"84";84;0;0;0;0;0;0;0;0;1
"85";85;0;0;0;0;0;0;0;3;3
"86";86;0;0;0;0;0;0;0;0;0
"87";87;0;0;0;0;0;0;4;4;4
"88";88;0;0;0;0;0;0;0;3;3
