"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"mass";"chi.distance";"inertie"
"querer";-0,138179426432531;-0,0534163053542134;0,572912198282534;0,175507819677068;-0,223868660968036;-0,0865413691621188;0,928192351011019;0,284345517961093;0,0810094100045857;0,00963247207357237;0,845346826949562;0,0640112909722734;0,000290889722910935;4,34699657916669e-05;0,0050005496662745;0,000469282704771331;0,0152349701160202;0,364659442894047;0,0020258931451932
"estado";0,229143941493834;-0,652695317774578;-0,495910609524701;-0,292933144155443;0,254564267770868;-0,725102765377851;-0,550924979165803;-0,325429993311672;0,0900954644225795;0,581632322929005;0,256155131256317;0,0721170813921332;0,000430737866475223;0,0034947594572999;0,00201745145725317;0,000703936234165657;0,00820344544708778;0,573414575570304;0,00269732793664046
"dizer";0,320415449216719;0,489629905224666;0,287919986239669;-0,0218850564471917;0,491044245743689;0,750369397269546;0,441244181025633;-0,0335393660400585;0,298467161267983;0,554557903149169;0,146292942535127;0,000681993047677729;0,000902373667790505;0,00210714969023481;0,000728623448461132;4,20973598702187e-06;0,00878940583616548;0,440531515882669;0,00170574255671407
"falar";0,0651585605851107;-0,202494195872846;-0,26240090816944;-0,566561461603035;0,0987822932634441;-0,30698715351038;-0,397807490383862;-0,858923830564564;0,0179984675812308;0,138311755787402;0,177187599606324;0,666502177025059;3,48288598648363e-05;0,000336373251535607;0,000564841973815808;0,00263323945671671;0,00820344544708778;0,364808988043342;0,00109176044099432
"parlamentar";0,321619096214401;0,842442774092299;-0,163793743543901;-0,0718779763019603;0,349845746619735;0,916379110431454;-0,178168974343358;-0,0781862911153499;0,150574614802456;0,822034972544212;0,0237067933938371;0,0036836192594962;0,000618232860135729;0,00424179083659168;0,000160347815730739;3,08787785468796e-05;0,00597679596859252;0,622555049302184;0,00231645543888361
"público";0,318600273552253;-0,768396794314877;0,0366510636549524;-0,945302520294904;0,252914722864801;-0,609977072893114;0,029094744658065;-0,750410293996726;0,100520945348108;0,465239663760043;0,000807509298213021;0,433431881593637;0,000618577169107427;0,00359809550482782;8,18605698887232e-06;0,00544556855192156;0,00609398804640806;0,754796148328507;0,00347184996222203
"importante";0,316151027451579;-0,434996335167309;0,0566386180331221;-0,27207584919782;0,522291577001963;-0,7186278144214;0,0935688027655133;-0,449477977304508;0,346191771068323;0,521482946172003;0,00674470458025449;0,125580578179419;0,000679384200773932;0,00128616724168773;2,18047717164784e-05;0,000503160146205258;0,0067971405133013;0,403597103141488;0,00110719044375057
"palavra";-4,72646708537928;0,238430276188997;-0,0100563097451782;0,0670945717559838;-0,998627423622973;0,0503765303181467;-0,00212473852257368;0,0141760173341794;0,997878222825083;0,00202054460298541;2,74215274805699e-06;9,8490419178929e-05;0,178024773868957;0,000453033138291594;8,05906113557442e-07;3,58741762592386e-05;0,0079690612914567;3,5539366205016;0,100652953729389
"precisar";0,216151013241778;-0,0544507552215078;0,159053203602966;-0,752775076677107;0,269840226757599;-0,0679756431197442;0,198560033945988;-0,939755008970547;0,136616010882135;0,00689820716697391;0,0449036848341695;0,81158209711672;0,000306620249551746;1,94578162047092e-05;0,000166024095661143;0,00371891921946661;0,00656275635767022;0,439256593057464;0,00126625991497589
"cidade";0,304357292064537;-1,17483039467744;-0,565949119865626;0,635064192959603;0,205362712590536;-0,792707659633175;-0,381869761212052;0,428504618537772;0,0585239644785499;0,693837920615308;0,122837560627963;0,124800554278182;0,000510227115662057;0,00760232549444791;0,00176421248037078;0,00222142351710223;0,00550802765733037;0,944993139275604;0,00491873497762384
"brasileiro";0,322525315049672;-0,0273462241602048;0,419991070457518;-0,74510154310687;0,352673299258687;-0,0299024065610532;0,459249645115854;-0,814749749022859;0,215093299024821;0,00123036897722907;0,221406042166719;0,562270289831229;0,000719246707139986;5,17064837377123e-06;0,00121963640648999;0,00383867365087004;0,00691433259111684;0,522350699831026;0,00188657740105752
"programa";0,300466360114988;-1,44100176974988;-1,34934153329045;0,6901831178533;0,142213713177035;-0,682040453022372;-0,638656752522282;0,326670526192875;0,0293016320086368;0,536253939046331;0,35871865716589;0,0757257717791455;0,00035972356042019;0,00827382250256157;0,00725472489133119;0,00189804207544473;0,00398453064572835;1,31844423051424;0,00692629045179814
"crime";0,318125296523712;1,2284648419518;-0,704814229529813;0,588467893543893;0,203102450310993;0,784295440343018;-0,44997835317032;0,375698733845282;0,0570754444769781;0,677204328937277;0,170063969083544;0,0956562575022045;0,000640454708961466;0,00955031019187038;0,00314370178131677;0,00219148024534481;0,00632837220203914;1,00019658284941;0,00633086054547708
"prisão";0,323649999166239;1,966969947343;-0,303250421395996;0,549709674406326;0,154860684236051;0,941159625218562;-0,145099854389721;0,263026159521215;0,0309263030985116;0,908894772241637;0,0164812331848084;0,0436976914750463;0,000601513743824565;0,0222172234751876;0,000528076888054097;0,00173524617141211;0,00574241181296144;1,3823671961465;0,0109733990606018
"dar";0,201648834244991;0,0818129183308906;-0,157596904518864;-0,124158376905439;0,681278359567716;0,276408098269485;-0,532447216893486;-0,419473862377801;0,592613972440896;0,0776185622031538;0,219728257654711;0,110039207701239;0,000243029985933501;4,00048088476112e-05;0,000148444392360286;9,21341181700973e-05;0,00597679596859252;0,19675310070469;0,000231372426401312
"vir";0,310596762430755;-0,513466400719754;-0,0294624025207281;0,472244452150049;0,406434109023967;-0,671900947894787;-0,0385532844080666;0,617959606690706;0,231894515622675;0,504268753230891;0,00126661036135281;0,262570120785082;0,000599194713245138;0,00163756363147888;5,39151032480378e-06;0,00138518523345652;0,0062111801242236;0,484466217824461;0,00145781065970893
"projeto";0,313291997612902;-0,775242328944461;0,168162970781401;-0,0910751972918954;0,365250857169219;-0,903814739343232;0,196052467634109;-0,106179839035731;0,164246708676746;0,800229202375656;0,0287255864837266;0,00679850246387251;0,000494612757299444;0,00302859823617145;0,000142504130306707;4,17991019753404e-05;0,00503925934606821;0,580647789734391;0,00169899563999855
"governo";0,177574977157136;-1,03734794715055;-0,609600895754898;-0,899495255303434;0,117387694458448;-0,685749117452797;-0,402982699691686;-0,594620232460719;0,0208877803189608;0,567177545600976;0,149427331151001;0,262507342929066;0,000158902322516275;0,00542270043697064;0,0018726555537938;0,00407722298318009;0,00503925934606821;0,922884676249164;0,0042920184464066
"votar";0,321326539757458;1,44573810236284;-0,516614259057018;0,364127468340892;0,19955135245935;0,897837426831543;-0,320829627619392;0,226131737608324;0,0517986074568142;0,834344702250081;0,0812770174311112;0,0325796728619968;0,000556607790579522;0,0112677016745214;0,00143876168550421;0,000714764491646077;0,00539083557951482;1,06047239561266;0,00606254286715066
"rio_de_janeiro";-0,248089670570581;-0,679112523878073;-1,0682359056771;1,22909576704538;-0,139241221680938;-0,381154351433208;-0,599551251802746;0,689834428707418;0,0330703991174629;0,197172761779471;0,372191546485513;0,397565292617553;0,000310158776477702;0,00232407526822758;0,005750439687993;0,00761269019060838;0,00503925934606821;1,02470953497341;0,00529137163199494
"país";0,316144345998898;-0,557021792037128;-0,317653751175585;-0,52356084100739;0,356766531165356;-0,628594928372654;-0,358469883623894;-0,59083449526842;0,184289029053458;0,455212715518589;0,112939721016608;0,247558534411348;0,000597364305972179;0,00185444006996565;0,000603082056420012;0,0016383351302068;0,00597679596859252;0,553155826591203;0,0018287882096662
"grande";0,312410411059822;-0,936346435744754;1,21536341992925;0,30942543677105;0,195746591801697;-0,58668538900775;0,761508704029878;0,193876300278247;0,0561322028061257;0,401213540297068;0,515683815108154;0,0269704417886551;0,000560460914331392;0,00503462882208641;0,00848216382076695;0,000549802056149866;0,00574241181296144;0,99044706312673;0,00563322206234172
"ouvir";-3,12456013570416;-0,28812315162462;-0,368454749054824;0,0685711094624626;-0,988747628631065;-0,0911747799849432;-0,116595214546482;0,0216989012625713;0,984792016443826;0,00666291735209342;0,00831275826995746;0,000232307934118544;0,0491976643372975;0,000418333865181115;0,000684124316224692;2,36945825940771e-05;0,00503925934606821;2,36498527516087;0,0281853603802054
"tribuna";-2,47036032551783;-0,241244416893155;-0,121431465866663;-0,628923482801289;-0,963693597763228;-0,0941100363597052;-0,0473707114763417;-0,245344587021533;0,960798512935989;0,00729067310434502;0,00140923778888859;0,0305015761707744;0,0379048455769725;0,000361483656410673;9,15875832455062e-05;0,0024567996721671;0,0062111801242236;1,89302328429748;0,0222579947508845
"pedir";-0,613410122574158;0,356231357674734;0,259218110154831;-0,138797239654537;-0,798841492497798;0,463918639368391;0,337578684110335;-0,180755077231059;0,713352903662691;0,191429214574677;0,0773291661158037;0,017888715646828;0,0016756516092939;0,0005651271120649;0,000299235097623953;8,57913514540402e-05;0,00445329895699051;0,545519820975615;0,00132526558689044
