"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"5";"***";"";""
"**";"classe";"1";"**";"";""
"****";"212";"802";"26.43";"****";""
" 0";"43";" 0.00";"-16.33";"governo";"5.332184e-05"
" 1";"49";" 2.04";"-15.97";"grande";"6.439755e-05"
" 0";"34";" 0.00";"-12.76";"programa";"3.545269e-04"
" 2";"47";" 4.26";"-12.63";"cidade";"3.798953e-04"
" 3";"52";" 5.77";"-12.21";"público";"4.752028e-04"
" 4";"53";" 7.55";"-10.41";"tribuna";"1.253464e-03"
" 0";"25";" 0.00";" -9.27";"rural";"2.326732e-03"
" 3";"43";" 6.98";" -8.85";"ouvir";"2.938159e-03"
" 8";"68";"11.76";" -8.22";"palavra";"4.139246e-03"
" 0";"22";" 0.00";" -8.13";"servidor";"4.358563e-03"
" 0";"22";" 0.00";" -8.13";"são_paulo";"4.358563e-03"
" 0";"21";" 0.00";" -7.75";"rio_grande_do_sul";"5.375248e-03"
" 0";"20";" 0.00";" -7.37";"minha_casa_minha_vida";"6.631219e-03"
" 0";"20";" 0.00";" -7.37";"entidade";"6.631219e-03"
" 4";"43";" 9.30";" -6.86";"projeto";"8.827666e-03"
" 3";"37";" 8.11";" -6.70";"trabalho";"9.647387e-03"
" 1";"24";" 4.17";" -6.31";"prefeito";"1.201862e-02"
" 1";"23";" 4.35";" -5.94";"parabéns";"1.480368e-02"
" 0";"16";" 0.00";" -5.87";"deus";"1.543448e-02"
" 0";"16";" 0.00";" -5.87";"bahia";"1.543448e-02"
"10";"70";"14.29";" -5.82";"estado";"1.584215e-02"
" 0";"15";" 0.00";" -5.49";"empresa";"1.909757e-02"
" 0";"15";" 0.00";" -5.49";"município";"1.909757e-02"
" 0";"15";" 0.00";" -5.49";"passado";"1.909757e-02"
" 0";"14";" 0.00";" -5.12";"minas_gerais";"2.365321e-02"
" 0";"14";" 0.00";" -5.12";"honra";"2.365321e-02"
" 0";"13";" 0.00";" -4.75";"real";"2.932978e-02"
" 0";"13";" 0.00";" -4.75";"saúde";"2.932978e-02"
" 0";"13";" 0.00";" -4.75";"apoio";"2.932978e-02"
" 3";"31";" 9.68";" -4.66";"família";"3.094598e-02"
" 1";"19";" 5.26";" -4.49";"serviço";"3.418582e-02"
" 0";"12";" 0.00";" -4.38";"amazona";"3.641934e-02"
" 0";"12";" 0.00";" -4.38";"autista";"3.641934e-02"
" 0";"12";" 0.00";" -4.38";"querido";"3.641934e-02"
" 0";"12";" 0.00";" -4.38";"paraná";"3.641934e-02"
" 0";"12";" 0.00";" -4.38";"renda";"3.641934e-02"
" 0";"12";" 0.00";" -4.38";"anunciar";"3.641934e-02"
" 0";"12";" 0.00";" -4.38";"eminente";"3.641934e-02"
" 1";"18";" 5.56";" -4.13";"trabalhador";"4.219227e-02"
" 1";"18";" 5.56";" -4.13";"luta";"4.219227e-02"
" 0";"11";" 0.00";" -4.01";"unidade";"4.529805e-02"
" 0";"11";" 0.00";" -4.01";"gerar";"4.529805e-02"
" 0";"11";" 0.00";" -4.01";"lado";"4.529805e-02"
" 0";"11";" 0.00";" -4.01";"caixa_econômica";"4.529805e-02"
" 0";"11";" 0.00";" -4.01";"exa";"4.529805e-02"
" 0";"11";" 0.00";" -4.01";"microfone";"4.529805e-02"
" 0";"11";" 0.00";" -4.01";"aparte";"4.529805e-02"
" 6";"44";"13.64";" -3.92";"minuto";"4.769275e-02"
" 1";"17";" 5.88";" -3.77";"obrigar";"5.210849e-02"
" 3";"28";"10.71";" -3.69";"população";"5.484828e-02"
" 0";"10";" 0.00";" -3.64";"moradia";"5.645475e-02"
" 0";"10";" 0.00";" -3.64";"junto";"5.645475e-02"
" 0";"10";" 0.00";" -3.64";"educação";"5.645475e-02"
" 0";"10";" 0.00";" -3.64";"transporte";"5.645475e-02"
" 0";"10";" 0.00";" -3.64";"representante";"5.645475e-02"
" 0";"10";" 0.00";" -3.64";"feira";"5.645475e-02"
" 0";"10";" 0.00";" -3.64";"agricultura";"5.645475e-02"
" 0";"10";" 0.00";" -3.64";"achar";"5.645475e-02"
" 2";"22";" 9.09";" -3.50";"vida";"6.141542e-02"
" 0";" 9";" 0.00";" -3.27";"santa_catarina";"7.053179e-02"
" 0";" 9";" 0.00";" -3.27";"criação";"7.053179e-02"
" 0";" 9";" 0.00";" -3.27";"saudar";"7.053179e-02"
" 0";" 9";" 0.00";" -3.27";"região";"7.053179e-02"
" 0";" 9";" 0.00";" -3.27";"jovem";"7.053179e-02"
" 0";" 9";" 0.00";" -3.27";"inscrição";"7.053179e-02"
" 0";" 9";" 0.00";" -3.27";"feliz";"7.053179e-02"
" 0";" 9";" 0.00";" -3.27";"dignidade";"7.053179e-02"
" 8";"51";"15.69";" -3.24";"país";"7.207458e-02"
" 2";"21";" 9.52";" -3.17";"colega";"7.495657e-02"
" 1";"15";" 6.67";" -3.07";"governador";"7.967811e-02"
" 0";" 8";" 0.00";" -2.90";"social";"8.838529e-02"
" 0";" 8";" 0.00";" -2.90";"movimento";"8.838529e-02"
" 0";" 8";" 0.00";" -2.90";"habitacional";"8.838529e-02"
" 0";" 8";" 0.00";" -2.90";"urbano";"8.838529e-02"
" 0";" 8";" 0.00";" -2.90";"emprego";"8.838529e-02"
" 0";" 8";" 0.00";" -2.90";"desenvolvimento";"8.838529e-02"
" 0";" 8";" 0.00";" -2.90";"potássio";"8.838529e-02"
" 0";" 8";" 0.00";" -2.90";"investimento";"8.838529e-02"
" 0";" 8";" 0.00";" -2.90";"cuidar";"8.838529e-02"
" 0";" 8";" 0.00";" -2.90";"construir";"8.838529e-02"
" 0";" 8";" 0.00";" -2.90";"produtor";"8.838529e-02"
" 0";" 8";" 0.00";" -2.90";"piso";"8.838529e-02"
" 0";" 8";" 0.00";" -2.90";"municipal";"8.838529e-02"
" 0";" 8";" 0.00";" -2.90";"homem";"8.838529e-02"
" 0";" 8";" 0.00";" -2.90";"carinho";"8.838529e-02"
" 0";" 8";" 0.00";" -2.90";"produzir";"8.838529e-02"
" 0";" 8";" 0.00";" -2.90";"principal";"8.838529e-02"
" 0";" 8";" 0.00";" -2.90";"ponto";"8.838529e-02"
" 0";" 8";" 0.00";" -2.90";"dirigir";"8.838529e-02"
" 0";" 8";" 0.00";" -2.90";"dinheiro";"8.838529e-02"
" 0";" 8";" 0.00";" -2.90";"conhecer";"8.838529e-02"
" 0";" 8";" 0.00";" -2.90";"atendimento";"8.838529e-02"
" 0";" 8";" 0.00";" -2.90";"agente";"8.838529e-02"
" 2";"20";"10.00";" -2.85";"chegar";"9.145015e-02"
" 1";"14";" 7.14";" -2.73";"apresentar";"9.867842e-02"
" 1";"14";" 7.14";" -2.73";"área";"9.867842e-02"
" 1";"14";" 7.14";" -2.73";"parabenizar";"9.867842e-02"
" 0";" 7";" 0.00";" -2.54";"silvestre";"1.111776e-01"
