"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5"
"querer";0,126;-2,374;0,877;9,947;-9,458
"estado";-5,82;15,637;15,62;-4,06;-13,134
"dizer";17,417;-4,684;0,964;0,018;-16,895
"falar";-0,182;0,671;17,958;-5,575;-8,745
"parlamentar";29,382;-2,293;0,065;-3,823;-11,122
"público";-12,211;0,696;40,765;-0,655;-11,355
"importante";-1,793;1,454;11,617;0;-12,767
"palavra";-8,222;-10,877;-26,017;-11,127;246,393
"precisar";0,004;-1,843;20,944;-1,038;-9,841
"cidade";-12,629;44,024;0,386;0,093;-10,195
"brasileiro";0,015;-5,064;23,471;-0,002;-13,005
"programa";-12,758;67,433;0,223;-2,492;-7,25
"crime";72,929;0,095;-10,347;-10,589;-11,823
"prisão";129,572;-9,363;-15,512;-7,191;-10,657
"dar";2,199;0,25;2,483;-1,334;-8,698
"vir";-0,941;9,869;0,165;1,217;-11,589
"projeto";-6,857;3,788;7,879;1,04;-9,278
"governo";-16,326;10,6;32,13;-5,998;-6,908
"votar";73,177;-1,607;-5,766;-8,925;-9,965
"rio_de_janeiro";-0,708;51,611;-8,502;-1,319;-1,891
"país";-3,235;4,461;17,785;-2,418;-11,122
"grande";-15,969;0,05;4,479;29,967;-10,657
"ouvir";-8,845;0,405;-3,396;-5,998;54,72
"tribuna";-10,41;-1,469;1,904;-8;36,785
"pedir";2,222;-3,061;0,188;-0,162;-0,039
"minuto";-3,921;-6,043;-5,146;-6,195;94,613
"ano";-0,708;7,948;5,999;-2,502;-9,278
"saber";1,322;-0,997;7,262;-1,076;-6,468
"dia";0,618;-0,011;3,854;-0,023;-8,823
"lei";4,497;-6,762;14,138;-2,83;-7,697
"justiça";74,256;-7,553;-2,621;-7,7;-8,597
"ver";0,618;0,116;9,367;-3,703;-8,823
"trabalho";-6,699;-2,892;10,418;14,859;-7,921
"brazão";79,499;-6,566;-12,815;-6,693;-1,828
"momento";1,815;-0,491;1,074;0,042;-5,382
"caso";51,244;-6,37;-1,27;-6,494;-4,953
"obrigar";-3,772;-3,116;-6,082;82,209;-3,547
"decisão";19,648;-0,047;-0,051;-5,503;-6,144
"comunicação";9,801;-0,046;-2,83;-1,478;-0,114
"vez";-0,035;0,323;5,507;-0,224;-6,806
"tratar";15,217;-0,583;-0,052;-0,642;-7,921
"família";-4,656;7,265;-0,189;9,89;-6,585
"rural";-9,272;64,519;0,057;-4,719;-5,269
"população";-3,687;33,099;1,444;-5,306;-5,925
"preso";61,274;-4,439;-6,103;-4,525;-5,052
"constituição";65,825;-5,205;-5,334;-5,306;-5,925
"pronunciamento";1,148;-0,721;-0,002;0,28;-0,821
"ministro";12,946;-0,141;-0,011;-2,415;-5,052
"ficar";-1,012;2,476;-0,015;6,357;-6,806
"divulgar";0,476;0,089;0,518;-0,92;-1,027
"servidor";-8,128;-1,995;36,776;-0,058;-4,619
"plenário";25,6;-3,048;-0,986;-1,536;-3,692
"passar";-1,097;-0,455;14,71;-3,138;-0,803
"minha_casa_minha_vida";-7,37;114,326;-7,182;-3,751;-4,189
"marielle";77,759;-5,013;-9,784;-5,11;-5,706
"maior";-1,94;7,114;4,983;-1,387;-5,706
"estar";1,285;-1,465;0,582;2,02;-5,925
"acontecer";2,941;-0,364;7,177;-5,11;-5,706
"continuar";5,235;-0,553;3,736;-5,503;-3,899
"voto";35,378;-4,439;-2,325;-0,962;-5,052
"representar";0,003;-4,821;-2,899;36,664;-3,28
"prefeito";-6,308;17,986;-2,325;9,193;-5,052
"dever";30,008;-0,908;-2,325;-2,415;-5,052
"chique";56,044;-5,013;-9,784;-5,11;-0,678
"direito";2,991;-1,826;5,279;-1,889;-4,404
"comissão";-0,792;-1,995;16,738;-0,058;-4,619
"parabéns";-5,94;0,782;-3,664;44,849;-4,835
"nacional";-2,183;0,782;8,487;-0,106;-4,835
"meio";-0,391;7,909;0,01;-0,346;-2,277
"líder";-0,549;-2,515;-4,321;-4,719;47,741
"entidade";-7,37;114,326;-7,182;-3,751;-4,189
"atender";-1,725;13,378;0,01;-0,346;-2,277
"trabalhador";-4,127;-1,331;25,763;-0,267;-3,76
"próximo";-2,183;-0,086;-3,664;-0,829;26,321
"bom";-2,183;-0,78;-0,217;30,543;-4,835
"ação";-0,079;0,012;6,54;-0,237;-5,269
"vida";-3,499;0,155;12,946;-0,058;-4,619
"são_paulo";-8,128;49,208;-1,781;-2,062;-0,177
"forma";4,208;-0,657;0,408;-0,058;-4,619
"colega";-3,171;-3,869;23,235;-0,582;-0,846
"voz_do_brasil";-1,444;0,299;5,038;-0,735;-0,821
"votação";27,928;-3,116;-3,636;-3,176;-0,333
"respeito";1,941;-3,68;2,112;0,323;-4,189
"mandato";-0,903;-1,331;-2,107;36,937;-3,76
"luta";-4,127;-1,331;5,551;7,732;-3,76
"srs";9,192;0,155;0,021;-4,137;-4,619
"parlamento";0,528;-3,869;-3,024;28,663;-4,404
"democracia";12,724;-2,742;0,004;-0,905;-3,121
"conceder";0,008;-4,058;-7,921;-4,137;49,961
"serviço";-4,485;-1,493;28,472;-0,363;-3,974
"senhor";0,983;0,634;-4,627;5,348;-2,698
"rio_grande_do_sul";-7,749;1,236;-1,524;0,212;10,272
"política";-1,349;0,272;3,42;0,241;-3,121
"governador";-3,071;-2,742;29,351;-0,905;-3,121
"entender";32,96;-1,826;-5,033;-0,582;-4,404
"deus";-5,866;-2,929;-0,007;44,276;-3,334
"conselho";1,469;-3,304;1,608;0,644;-3,76
"vereador";1,469;-1,331;-6,448;22,646;-3,76
"segurança";-1,349;0,272;13,202;-2,796;-3,121
"real";-4,748;21,988;1,079;-2,417;-2,698
"presença";-2,532;-1,493;-2,406;50,472;-3,974
"presente";8,03;-1,331;-0,823;0,644;-3,76
"pedido";0,509;-0,046;0,563;-0,054;-1,65
"empresa";-5,493;31,378;0,436;-2,796;-3,121
"criminoso";33,407;-3,492;-2,406;-1,548;-3,974
"chegar";-2,849;3,478;3,881;-3,751;-0,056
"chamar";-1,134;-1,493;4,654;-1,548;1,21
"aprovar";0,451;-3,304;1,608;2,137;-3,76
"supremo_tribunal_federal";48,336;-3,116;-6,082;-3,176;-3,547
"registrar";0,017;-1,331;-0,132;11,834;-3,76
"processo";36,934;-3,304;-3,981;-1,382;-3,76
"esperar";17,29;-2,742;0,004;-2,796;-3,121
"contar";-0,29;-0,331;0,323;3,868;-1,89
"claro";19,852;-0,24;-0,823;-3,368;-3,76
"usar";0,079;2,715;-0,621;-1,219;0,006
"unidade";-4,008;49,548;-1,647;-2,04;-2,277
"saúde";-4,748;0,634;12,895;-0,61;-2,698
"questão";3,071;-3,304;8,41;-3,368;-3,76
"preciso";-0,496;-1,017;7,811;-0,11;-1,329
"parecer";28,518;-2,742;-1,264;-2,796;-3,121
"mundo";0,701;-1,172;2,1;0,063;-3,547
"minas_gerais";-5,12;-0,719;-0,151;-2,606;30,022
"levar";-0,69;0,932;4,035;-0,182;-3,547
"hora";6,91;-0,719;-0,151;-0,015;-2,91
"gostar";1,976;-0,719;0,709;-0,015;-2,91
"federal";0;-0,865;3,42;0,241;-3,121
"favor";10,92;-2,929;-3,293;3,114;-3,334
"defender";0,195;3,256;0,24;-1,06;-3,334
