querer;36;14;38;32;10
estado;10;22;32;5;1
dizer;35;5;23;12;0
falar;17;13;33;4;3
parlamentar;30;4;14;3;0
público;3;10;33;6;0
importante;11;12;26;9;0
palavra;8;1;0;1;58
precisar;15;5;29;6;1
cidade;2;23;14;8;0
brasileiro;16;3;31;9;0
programa;0;22;10;2;0
crime;41;9;4;0;0
prisão;47;0;1;1;0
dar;18;9;18;5;1
vir;11;16;15;11;0
projeto;4;11;19;9;0
governo;0;14;27;1;1
votar;37;4;5;0;0
rio_de_janeiro;9;23;3;4;4
país;8;13;26;4;0
grande;1;8;19;21;0
ouvir;3;8;6;1;25
tribuna;4;5;18;1;25
pedir;14;2;11;5;6
minuto;6;1;5;1;31
ano;9;13;18;3;0
saber;14;4;18;4;1
dia;13;6;16;6;0
lei;15;0;19;2;0
justiça;34;0;6;0;0
ver;13;7;19;2;0
trabalho;3;2;18;14;0
brazão;32;0;0;0;3
momento;13;4;12;6;1
caso;27;0;6;0;1
obrigar;1;0;0;16;0
decisão;18;4;7;0;0
comunicação;6;1;0;0;1
vez;8;6;14;4;0
tratar;20;4;9;4;0
família;3;10;7;11;0
rural;0;18;7;0;0
população;3;15;10;0;0
preso;23;0;1;0;0
constituição;26;0;2;0;0
pronunciamento;2;0;1;1;0
ministro;14;3;6;1;0
ficar;6;8;8;10;0
divulgar;2;1;2;0;0
servidor;0;1;18;3;0
plenário;19;1;5;2;1
passar;5;3;16;1;3
minha_casa_minha_vida;0;20;0;0;0
marielle;27;0;0;0;0
maior;4;9;12;2;0
estar;10;2;9;7;0
acontecer;11;3;13;0;0
continuar;13;3;12;0;1
voto;19;0;3;2;0
representar;7;0;3;15;1
prefeito;1;11;3;9;0
dever;18;2;3;1;0
chique;24;0;0;0;3
direito;9;1;10;1;0
comissão;4;1;14;3;0
parabéns;1;5;2;15;0
nacional;3;5;12;3;0
meio;2;5;3;1;0
líder;5;1;2;0;17
entidade;0;20;0;0;0
atender;1;6;3;1;0
trabalhador;1;1;14;2;0
próximo;3;3;2;2;13
bom;3;2;5;13;0
ação;6;4;12;3;0
vida;2;4;13;3;0
são_paulo;0;15;3;1;3
forma;10;2;7;3;0
colega;2;0;15;2;2
voz_do_brasil;0;1;3;0;0
votação;14;0;1;0;2
respeito;8;0;8;4;0
mandato;3;1;2;12;0
luta;1;1;9;7;0
srs;12;4;6;0;0
parlamento;7;0;2;12;0
democracia;10;0;4;1;0
conceder;6;0;0;0;16
serviço;1;1;15;2;0
senhor;5;3;0;5;0
rio_grande_do_sul;0;5;3;4;9
política;2;3;7;3;0
governador;1;0;13;1;0
entender;17;1;1;2;0
deus;0;0;4;12;0
conselho;7;0;7;4;0
vereador;7;1;0;10;0
segurança;2;3;10;0;0
real;0;8;5;0;0
presença;2;1;2;14;0
presente;10;1;3;4;0
pedido;3;1;3;1;0
empresa;0;10;5;0;0
criminoso;16;0;2;1;0
chegar;2;6;9;0;3
chamar;3;1;9;1;5
aprovar;6;0;7;5;0
supremo_tribunal_federal;17;0;0;0;0
registrar;5;1;4;8;0
processo;16;0;1;1;0
esperar;11;0;4;0;0
contar;4;2;6;6;1
claro;13;2;3;0;0
usar;5;5;3;1;3
unidade;0;10;1;0;0
saúde;0;3;9;1;0
questão;8;0;10;0;0
preciso;3;1;9;2;1
parecer;13;0;2;0;0
mundo;6;1;7;3;0
minas_gerais;0;1;3;0;10
levar;3;4;8;2;0
hora;8;1;3;2;0
gostar;6;1;5;2;0
federal;4;1;7;3;0
favor;10;0;1;5;0
defender;5;5;5;1;0
debate;9;0;4;1;0
câmara_dos_deputados;7;0;3;7;0
constituição_federal;14;0;2;0;0
colocar;6;2;7;1;0
bahia;0;3;7;0;6
art;16;0;1;0;0
apresentar;1;0;10;3;0
amazona;0;10;1;0;1
órgão;0;3;0;1;0
viver;2;1;7;3;0
polícia;8;1;6;0;0
pagar;2;1;12;0;0
município;0;7;7;1;0
milícia;8;2;2;0;0
manutenção;16;0;0;0;0
deixar;4;2;7;4;0
bandido;9;0;2;0;0
autista;0;0;0;12;0
audiência;3;2;7;1;0
atenção;9;1;5;0;0
área;1;5;7;1;0
possível;7;5;3;1;0
olhar;2;3;7;2;1
mostrar;6;0;8;1;0
moradia;0;9;1;0;0
manter;11;0;5;0;0
liberdade;9;1;1;2;0
instituição;5;0;9;0;0
flagrante;15;0;0;0;0
assunto;7;3;4;1;0
trazer;3;2;9;0;0
situação;4;1;8;1;0
sessão;11;0;1;3;0
relação;6;1;2;0;0
querido;0;1;1;8;2
passado;0;7;7;1;0
paraná;0;3;0;2;7
parabenizar;1;4;8;1;0
oportunidade;5;3;3;4;0
ocorrer;7;1;7;0;0
nome;7;4;0;2;0
matéria;8;2;4;0;0
lembrar;3;2;2;5;0
gerar;0;7;4;0;0
considerar;12;1;1;0;0
seguir;6;0;1;2;0
santa_catarina;0;0;4;2;3
sair;4;2;5;0;1
respeitar;9;1;1;0;0
resolução;5;0;6;0;0
renda;0;8;4;0;0
próprio;6;3;4;0;1
orientar;2;0;0;0;12
organizado;2;9;2;0;0
lado;0;5;1;4;1
honra;0;0;3;10;1
existir;5;2;7;0;0
exemplo;2;1;7;2;0
especial;4;1;6;2;0
caixa_econômica;0;1;10;0;0
termo;9;2;2;0;0
social;0;5;0;3;0
policial;3;1;5;0;0
ministério;3;1;6;2;0
mesa;2;0;5;2;1
lutar;1;1;8;2;0
legislativo;5;0;5;2;0
junto;0;0;2;8;0
imunidade;9;0;0;0;0
fato;8;1;4;0;0
estadual;1;0;7;5;0
educação;0;0;3;7;0
criar;2;2;9;0;0
apoio;0;0;11;2;0
anunciar;0;7;5;0;0
animal;0;0;6;0;0
acabar;2;2;7;2;0
último;2;0;7;1;1
voltar;2;2;4;2;1
transporte;0;7;2;1;0
trabalhar;1;2;4;4;0
sras;7;2;3;0;0
sociedade;6;0;3;3;0
resposta;9;0;0;0;0
representante;0;2;5;3;0
realizar;1;1;8;0;0
polícia_federal;7;2;1;0;0
movimento;0;4;2;2;0
morte;6;2;3;0;0
mato_grosso;3;5;0;1;1
judicial;9;0;1;1;0
investigação;12;0;0;0;0
hediondo;11;0;0;0;0
habitacional;0;8;0;0;0
exa;0;0;1;1;9
eminente;0;0;0;1;11
droga;4;2;2;0;0
deputado_federal;5;0;3;3;0
defesa;3;1;4;1;0
coisa;2;4;0;3;0
ato;6;0;0;1;0
assassinato;11;0;0;0;0
amigo;2;0;4;4;0
agradecer;2;0;3;6;0
urbano;0;6;2;0;0
tomar;4;0;6;1;0
supremo;9;0;0;0;0
soltar;9;0;0;0;0
solicitar;2;0;0;0;1
prerrogativa;8;0;1;0;0
possibilidade;5;0;5;0;0
político;2;3;4;1;1
passo;2;2;2;3;0
papel;3;0;6;1;0
operação;1;6;1;0;0
necessário;6;1;3;1;0
microfone;0;0;0;1;10
liberar;5;0;3;0;0
juiz;8;0;0;0;0
inafiançável;10;0;0;0;0
importância;2;1;7;1;0
grave;1;8;2;0;0
garantir;3;1;5;1;0
feira;0;0;10;0;0
emprego;0;7;1;0;0
desenvolvimento;0;3;5;0;0
cumprir;4;1;5;0;0
criação;0;0;9;0;0
conseguir;3;2;5;1;0
concluir;4;1;3;0;0
certeza;3;1;6;1;0
cautelar;11;0;0;0;0
br;0;1;4;0;0
aprovação;5;0;3;1;0
aparte;0;0;0;0;11
agricultura;0;1;9;0;0
achar;0;2;2;6;0
zona;0;5;0;0;0
tema;1;1;7;1;0
silvestre;0;0;7;0;0
sentido;5;0;4;1;0
semana;1;3;6;0;0
responsabilidade;1;1;1;2;0
reconhecer;1;0;2;6;0
presidência;5;0;0;5;0
