"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9"
"1";0;0;0;0;0;0;4;4;4
"2";0;0;0;0;0;0;4;4;4
"3";0;0;0;0;0;0;0;0;1
"4";0;0;0;0;0;0;0;0;0
"5";0;0;0;0;0;0;0;0;0
"6";0;0;0;0;0;0;0;0;0
"7";0;0;0;0;0;0;4;4;4
"8";0;0;0;0;0;0;0;0;0
"9";0;0;0;0;0;0;0;3;3
"10";0;0;0;0;0;0;0;0;1
"11";0;0;0;0;0;0;0;0;1
"12";0;0;0;0;0;0;0;0;1
"13";0;0;0;0;0;0;0;3;3
"14";0;0;0;0;0;0;0;0;1
"15";0;0;0;0;0;0;0;0;1
"16";0;0;0;0;0;0;0;0;0
"17";0;0;0;0;0;0;0;0;0
"18";0;0;0;0;0;0;4;4;4
"19";0;0;0;0;0;0;0;2;2
"20";0;0;0;0;0;0;0;3;3
"21";0;0;0;0;0;0;0;3;3
"22";0;0;0;0;0;0;0;3;3
"23";0;0;0;0;0;0;4;4;4
"24";0;0;0;0;0;0;0;0;0
"25";0;0;0;0;0;0;0;0;0
"26";0;0;0;0;0;0;0;2;2
"27";5;5;5;5;5;5;5;5;5
"28";5;5;5;5;5;5;5;5;5
"29";0;0;0;0;0;0;0;2;2
"30";0;0;0;0;0;0;0;2;2
"31";0;0;0;0;0;0;0;2;2
"32";0;0;0;0;0;0;0;2;2
"33";0;0;0;0;0;0;0;3;3
"34";0;0;0;0;0;0;0;2;2
"35";0;0;0;0;0;0;0;0;1
"36";0;0;0;0;0;0;0;2;2
"37";0;0;0;0;0;0;0;2;2
"38";0;0;0;0;0;0;0;2;2
"39";5;5;5;5;5;5;5;5;5
"40";5;5;5;5;5;5;5;5;5
"41";0;0;0;0;0;0;0;2;2
"42";0;0;0;0;0;0;0;2;2
"43";0;0;0;0;0;0;0;2;2
"44";0;0;0;0;0;0;0;3;3
"45";0;0;0;0;0;0;0;3;3
"46";0;0;0;0;0;0;0;2;2
"47";0;0;0;0;0;0;4;4;4
"48";0;0;0;0;0;0;0;2;2
"49";0;0;0;0;0;0;0;2;2
"50";0;0;0;0;0;0;0;2;2
"51";0;0;0;0;0;0;0;2;2
"52";0;0;0;0;0;0;0;2;2
"53";0;0;0;0;0;0;0;2;2
"54";0;0;0;0;0;0;0;2;2
"55";0;0;0;0;0;0;0;2;2
"56";0;0;0;0;0;0;0;2;2
"57";0;0;0;0;0;0;0;2;2
"58";0;0;0;0;0;0;0;3;3
"59";0;0;0;0;0;0;0;3;3
"60";0;0;0;0;0;0;0;3;3
"61";0;0;0;0;0;0;0;3;3
"62";0;0;0;0;0;0;0;3;3
"63";0;0;0;0;0;0;0;3;3
"64";0;0;0;0;0;0;0;3;3
"65";0;0;0;0;0;0;0;0;0
"66";0;0;0;0;0;0;0;0;0
"67";0;0;0;0;0;0;0;0;0
"68";5;5;5;5;5;5;5;5;5
"69";0;0;0;0;0;0;0;3;3
"70";0;0;0;0;0;0;0;2;2
"71";0;0;0;0;0;0;0;2;2
"72";0;0;0;0;0;0;0;0;1
"73";0;0;0;0;0;0;0;0;1
"74";0;0;0;0;0;0;0;0;1
"75";0;0;0;0;0;0;0;0;0
"76";0;0;0;0;0;0;0;0;0
"77";0;0;0;0;0;0;0;0;0
"78";0;0;0;0;0;0;0;3;3
"79";0;0;0;0;0;0;0;3;3
"80";0;0;0;0;0;0;0;3;3
"81";0;0;0;0;0;0;0;3;3
"82";0;0;0;0;0;0;0;3;3
"83";0;0;0;0;0;0;0;3;3
"84";0;0;0;0;0;0;0;0;1
"85";0;0;0;0;0;0;0;3;3
"86";0;0;0;0;0;0;0;0;0
"87";0;0;0;0;0;0;4;4;4
"88";0;0;0;0;0;0;0;3;3
"89";0;0;0;0;0;0;0;3;3
"90";0;0;0;0;0;0;4;4;4
"91";0;0;0;0;0;0;0;3;3
"92";0;0;0;0;0;0;4;4;4
"93";0;0;0;0;0;0;0;3;3
"94";0;0;0;0;0;0;0;3;3
"95";0;0;0;0;0;0;0;3;3
"96";0;0;0;0;0;0;0;3;3
"97";0;0;0;0;0;0;0;0;0
"98";5;5;5;5;5;5;5;5;5
"99";5;5;5;5;5;5;5;5;5
"100";0;0;0;0;0;0;0;0;1
"101";0;0;0;0;0;0;0;0;1
"102";0;0;0;0;0;0;0;0;1
"103";5;5;5;5;5;5;5;5;5
"104";0;0;0;0;0;0;0;3;3
"105";0;0;0;0;0;0;0;3;3
"106";0;0;0;0;0;0;0;3;3
"107";0;0;0;0;0;0;0;3;3
"108";0;0;0;0;0;0;0;3;3
"109";0;0;0;0;0;0;0;3;3
"110";0;0;0;0;0;0;0;3;3
"111";0;0;0;0;0;0;0;0;1
"112";0;0;0;0;0;0;0;3;3
"113";0;0;0;0;0;0;0;0;0
"114";0;0;0;0;0;0;0;0;0
"115";5;5;5;5;5;5;5;5;5
"116";5;5;5;5;5;5;5;5;5
"117";0;0;0;0;0;0;4;4;4
"118";0;0;0;0;0;0;0;3;3
"119";0;0;0;0;0;0;0;3;3
"120";0;0;0;0;0;0;0;0;1
"121";0;0;0;0;0;0;0;0;1
"122";0;0;0;0;0;0;0;3;3
"123";0;0;0;0;0;0;0;0;1
"124";0;0;0;0;0;0;0;0;1
"125";0;0;0;0;0;0;0;0;1
"126";0;0;0;0;0;0;0;0;1
"127";0;0;0;0;0;0;0;0;0
"128";0;0;0;0;0;0;0;0;1
"129";5;5;5;5;5;5;5;5;5
"130";5;5;5;5;5;5;5;5;5
"131";0;0;0;0;0;0;0;0;1
"132";0;0;0;0;0;0;0;3;3
"133";0;0;0;0;0;0;0;3;3
"134";0;0;0;0;0;0;0;3;3
"135";0;0;0;0;0;0;0;3;3
"136";0;0;0;0;0;0;0;0;1
"137";0;0;0;0;0;0;0;3;3
"138";0;0;0;0;0;0;0;3;3
"139";0;0;0;0;0;0;4;4;4
"140";0;0;0;0;0;0;0;2;2
"141";0;0;0;0;0;0;0;0;1
"142";0;0;0;0;0;0;0;3;3
"143";0;0;0;0;0;0;0;3;3
"144";0;0;0;0;0;0;0;0;1
"145";0;0;0;0;0;0;0;0;1
"146";0;0;0;0;0;0;0;3;3
"147";0;0;0;0;0;0;0;3;3
"148";0;0;0;0;0;0;0;3;3
