"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"5";"***";"";""
"**";"classe";"1";"**";"";""
"****";"212";"802";"26.43";"****";""
"47";"49";" 95.92";"129.57";"prisão";"5.083507e-30"
"32";"35";" 91.43";" 79.50";"brazão";"4.824002e-19"
"27";"27";"100.00";" 77.76";"marielle";"1.163914e-18"
"34";"40";" 85.00";" 74.26";"justiça";"6.860951e-18"
"37";"46";" 80.43";" 73.18";"votar";"1.185478e-17"
"41";"54";" 75.93";" 72.93";"crime";"1.344293e-17"
"26";"28";" 92.86";" 65.83";"constituição";"4.927392e-16"
"23";"24";" 95.83";" 61.27";"preso";"4.965131e-15"
"24";"27";" 88.89";" 56.04";"chique";"7.085678e-14"
"27";"34";" 79.41";" 51.24";"caso";"8.157674e-13"
"17";"17";"100.00";" 48.34";"supremo_tribunal_federal";"3.591177e-12"
"16";"16";"100.00";" 45.43";"manutenção";"1.578111e-11"
"15";"15";"100.00";" 42.54";"flagrante";"6.921827e-11"
"16";"17";" 94.12";" 40.92";"art";"1.589920e-10"
"16";"18";" 88.89";" 36.93";"processo";"1.221996e-09"
"19";"24";" 79.17";" 35.38";"voto";"2.715996e-09"
"12";"12";"100.00";" 33.90";"investigação";"5.791410e-09"
"16";"19";" 84.21";" 33.41";"criminoso";"7.477298e-09"
"17";"21";" 80.95";" 32.96";"entender";"9.406161e-09"
"14";"16";" 87.50";" 31.31";"constituição_federal";"2.203546e-08"
"11";"11";"100.00";" 31.04";"hediondo";"2.529048e-08"
"11";"11";"100.00";" 31.04";"assassinato";"2.529048e-08"
"11";"11";"100.00";" 31.04";"cautelar";"2.529048e-08"
"18";"24";" 75.00";" 30.01";"dever";"4.303286e-08"
"30";"51";" 58.82";" 29.38";"parlamentar";"5.943605e-08"
"13";"15";" 86.67";" 28.52";"parecer";"9.283743e-08"
"10";"10";"100.00";" 28.18";"inafiançável";"1.104507e-07"
"10";"10";"100.00";" 28.18";"anderson";"1.104507e-07"
"14";"17";" 82.35";" 27.93";"votação";"1.259402e-07"
"12";"14";" 85.71";" 25.75";"considerar";"3.888463e-07"
"19";"28";" 67.86";" 25.60";"plenário";"4.200367e-07"
" 9";" 9";"100.00";" 25.33";"imunidade";"4.827758e-07"
" 9";" 9";"100.00";" 25.33";"resposta";"4.827758e-07"
" 9";" 9";"100.00";" 25.33";"supremo";"4.827758e-07"
" 9";" 9";"100.00";" 25.33";"soltar";"4.827758e-07"
" 9";" 9";"100.00";" 25.33";"comissão_de_constituição_e_justiça";"4.827758e-07"
" 9";" 9";"100.00";" 25.33";"mandante";"4.827758e-07"
" 8";" 8";"100.00";" 22.49";"juiz";"2.114082e-06"
" 8";" 8";"100.00";" 22.49";"seguinte";"2.114082e-06"
" 8";" 8";"100.00";" 22.49";"preventivo";"2.114082e-06"
"13";"18";" 72.22";" 19.85";"claro";"8.368198e-06"
"18";"29";" 62.07";" 19.65";"decisão";"9.312245e-06"
" 7";" 7";"100.00";" 19.65";"obstrução";"9.287374e-06"
" 7";" 7";"100.00";" 19.65";"alexandre_de_moraes";"9.287374e-06"
" 7";" 7";"100.00";" 19.65";"turma";"9.287374e-06"
" 7";" 7";"100.00";" 19.65";"entendimento";"9.287374e-06"
" 7";" 7";"100.00";" 19.65";"efeito";"9.287374e-06"
" 8";" 9";" 88.89";" 18.26";"prerrogativa";"1.929761e-05"
" 8";" 9";" 88.89";" 18.26";"cidadania";"1.929761e-05"
" 9";"11";" 81.82";" 17.59";"bandido";"2.736848e-05"
" 9";"11";" 81.82";" 17.59";"respeitar";"2.736848e-05"
" 9";"11";" 81.82";" 17.59";"judicial";"2.736848e-05"
"35";"75";" 46.67";" 17.42";"dizer";"3.001384e-05"
"11";"15";" 73.33";" 17.29";"esperar";"3.209270e-05"
"11";"15";" 73.33";" 17.29";"sessão";"3.209270e-05"
" 6";" 6";"100.00";" 16.82";"ordem";"4.101181e-05"
" 6";" 6";"100.00";" 16.82";"membro";"4.101181e-05"
" 6";" 6";"100.00";" 16.82";"legal";"4.101181e-05"
" 6";" 6";"100.00";" 16.82";"obstruir";"4.101181e-05"
" 6";" 6";"100.00";" 16.82";"encerrar";"4.101181e-05"
" 6";" 6";"100.00";" 16.82";"determinar";"4.101181e-05"
" 7";" 8";" 87.50";" 15.50";"relator";"8.270304e-05"
" 7";" 8";" 87.50";" 15.50";"medida";"8.270304e-05"
"20";"37";" 54.05";" 15.22";"tratar";"9.584000e-05"
"11";"16";" 68.75";" 15.03";"manter";"1.056515e-04"
" 5";" 5";"100.00";" 14.00";"requisito";"1.825783e-04"
" 5";" 5";"100.00";" 14.00";"julgar";"1.825783e-04"
" 5";" 5";"100.00";" 14.00";"indicar";"1.825783e-04"
" 5";" 5";"100.00";" 14.00";"leitura";"1.825783e-04"
" 5";" 5";"100.00";" 14.00";"inafiançabilidade";"1.825783e-04"
" 5";" 5";"100.00";" 14.00";"ccj";"1.825783e-04"
" 5";" 5";"100.00";" 14.00";"cassação";"1.825783e-04"
"14";"24";" 58.33";" 12.95";"ministro";"3.206221e-04"
" 6";" 7";" 85.71";" 12.76";"ato";"3.539035e-04"
" 6";" 7";" 85.71";" 12.76";"discussão";"3.539035e-04"
" 6";" 7";" 85.71";" 12.76";"reunião";"3.539035e-04"
"10";"15";" 66.67";" 12.72";"democracia";"3.610631e-04"
" 9";"13";" 69.23";" 12.45";"liberdade";"4.189170e-04"
" 9";"13";" 69.23";" 12.45";"termo";"4.189170e-04"
" 7";" 9";" 77.78";" 12.34";"civil";"4.435813e-04"
" 4";" 4";"100.00";" 11.19";"soltura";"8.233357e-04"
" 4";" 4";"100.00";" 11.19";"pessoal";"8.233357e-04"
" 4";" 4";"100.00";" 11.19";"medo";"8.233357e-04"
" 4";" 4";"100.00";" 11.19";"matar";"8.233357e-04"
" 4";" 4";"100.00";" 11.19";"delito";"8.233357e-04"
" 4";" 4";"100.00";" 11.19";"absoluto";"8.233357e-04"
" 4";" 4";"100.00";" 11.19";"ética";"8.233357e-04"
" 4";" 4";"100.00";" 11.19";"traficante";"8.233357e-04"
" 4";" 4";"100.00";" 11.19";"soberania";"8.233357e-04"
" 4";" 4";"100.00";" 11.19";"seriedade";"8.233357e-04"
" 4";" 4";"100.00";" 11.19";"precedente";"8.233357e-04"
" 4";" 4";"100.00";" 11.19";"fiança";"8.233357e-04"
" 4";" 4";"100.00";" 11.19";"envolvimento";"8.233357e-04"
" 4";" 4";"100.00";" 11.19";"calar";"8.233357e-04"
" 4";" 4";"100.00";" 11.19";"assassinar";"8.233357e-04"
" 4";" 4";"100.00";" 11.19";"apreciação";"8.233357e-04"
" 4";" 4";"100.00";" 11.19";"abstenção";"8.233357e-04"
"10";"16";" 62.50";" 10.92";"favor";"9.512124e-04"
" 9";"14";" 64.29";" 10.50";"debate";"1.194983e-03"
