"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5"
"querer";0,722;0,123;0,349;0,002;0,002
"estado";0,016;0;0;0,044;0
"dizer";0;0,03;0,326;0,892;0
"falar";0,67;0,413;0;0,018;0,003
"parlamentar";0;0,13;0,799;0,051;0,001
"público";0;0,404;0;0,418;0,001
"importante";0,181;0,228;0,001;0,99;0
"palavra";0,004;0,001;0;0,001;0
"precisar";0,951;0,175;0;0,308;0,002
"cidade";0;0;0,535;0,76;0,001
"brasileiro";0,901;0,024;0;0,964;0
"programa";0;0;0,636;0,114;0,007
"crime";0;0,758;0,001;0,001;0,001
"prisão";0;0,002;0;0,007;0,001
"dar";0,138;0,617;0,115;0,248;0,003
"vir";0,332;0,002;0,684;0,27;0,001
"projeto";0,009;0,052;0,005;0,308;0,002
"governo";0;0,001;0;0,014;0,009
"votar";0;0,205;0,016;0,003;0,002
"rio_de_janeiro";0,4;0;0,004;0,251;0,169
"país";0,072;0,035;0;0,12;0,001
"grande";0;0,823;0,034;0;0,001
"ouvir";0,003;0,524;0,065;0,014;0
"tribuna";0,001;0,226;0,168;0,005;0
"pedir";0,136;0,08;0,664;0,687;0,844
"minuto";0,048;0,014;0,023;0,013;0
"ano";0,4;0,005;0,014;0,114;0,002
"saber";0,25;0,318;0,007;0,3;0,011
"dia";0,432;0,916;0,05;0,88;0,003
"lei";0,034;0,009;0;0,093;0,006
"justiça";0;0,006;0,105;0,006;0,003
"ver";0,432;0,733;0,002;0,054;0,003
"trabalho";0,01;0,089;0,001;0;0,005
"brazão";0;0,01;0;0,01;0,176
"momento";0,178;0,483;0,3;0,838;0,02
"caso";0;0,012;0,26;0,011;0,026
"obrigar";0,052;0,078;0,014;0;0,06
"decisão";0;0,828;0,822;0,019;0,013
"comunicação";0,002;0,83;0,093;0,224;0,736
"vez";0,851;0,57;0,019;0,636;0,009
"tratar";0;0,445;0,819;0,423;0,005
"família";0,031;0,007;0,664;0,002;0,01
"rural";0,002;0;0,811;0,03;0,022
"população";0,055;0;0,229;0,021;0,015
"preso";0;0,035;0,013;0,033;0,025
"constituição";0;0,023;0,021;0,021;0,015
"pronunciamento";0,284;0,396;0,966;0,597;0,365
"ministro";0;0,707;0,915;0,12;0,025
"ficar";0,314;0,116;0,902;0,012;0,009
"divulgar";0,49;0,765;0,472;0,337;0,311
"servidor";0,004;0,158;0;0,81;0,032
"plenário";0;0,081;0,321;0,215;0,055
"passar";0,295;0,5;0;0,076;0,37
"minha_casa_minha_vida";0,007;0;0,007;0,053;0,041
"marielle";0;0,025;0,002;0,024;0,017
"maior";0,164;0,008;0,026;0,239;0,017
"estar";0,257;0,226;0,446;0,155;0,015
"acontecer";0,086;0,546;0,007;0,024;0,017
"continuar";0,022;0,457;0,053;0,019;0,048
"voto";0;0,035;0,127;0,327;0,025
"representar";0,954;0,028;0,089;0;0,07
"prefeito";0,012;0;0,127;0,002;0,025
"dever";0;0,341;0,127;0,12;0,025
"chique";0;0,025;0,002;0,024;0,41
"direito";0,084;0,177;0,022;0,169;0,036
"comissão";0,373;0,158;0;0,81;0,032
"parabéns";0,015;0,376;0,056;0;0,028
"nacional";0,14;0,376;0,004;0,745;0,028
"meio";0,532;0,005;0,919;0,556;0,131
"líder";0,459;0,113;0,038;0,03;0
"entidade";0,007;0;0,007;0,053;0,041
"atender";0,189;0;0,919;0,556;0,131
"trabalhador";0,042;0,249;0;0,606;0,052
"próximo";0,14;0,769;0,056;0,362;0
"bom";0,14;0,377;0,641;0;0,028
"ação";0,779;0,911;0,011;0,627;0,022
"vida";0,061;0,694;0;0,81;0,032
"são_paulo";0,004;0;0,182;0,151;0,674
"forma";0,04;0,418;0,523;0,81;0,032
"colega";0,075;0,049;0;0,446;0,358
"voz_do_brasil";0,229;0,585;0,025;0,391;0,365
"votação";0;0,078;0,057;0,075;0,564
"respeito";0,164;0,055;0,146;0,57;0,041
"mandato";0,342;0,249;0,147;0;0,052
"luta";0,042;0,249;0,018;0,005;0,052
"srs";0,002;0,694;0,885;0,042;0,032
"parlamento";0,468;0,049;0,082;0;0,036
"democracia";0;0,098;0,948;0,342;0,077
"conceder";0,928;0,044;0,005;0,042;0
"serviço";0,034;0,222;0;0,547;0,046
"senhor";0,321;0,426;0,031;0,021;0,1
"rio_grande_do_sul";0,005;0,266;0,217;0,645;0,001
"política";0,245;0,602;0,064;0,624;0,077
"governador";0,08;0,098;0;0,342;0,077
"entender";0;0,177;0,025;0,446;0,036
"deus";0,015;0,087;0,931;0;0,068
"conselho";0,226;0,069;0,205;0,422;0,052
"vereador";0,226;0,249;0,011;0;0,052
"segurança";0,245;0,602;0;0,095;0,077
"real";0,029;0;0,299;0,12;0,1
"presença";0,112;0,222;0,121;0;0,046
"presente";0,005;0,249;0,364;0,422;0,052
"pedido";0,476;0,83;0,453;0,816;0,199
"empresa";0,019;0;0,509;0,095;0,077
"criminoso";0;0,062;0,121;0,213;0,046
"chegar";0,091;0,062;0,049;0,053;0,813
"chamar";0,287;0,222;0,031;0,213;0,271
"aprovar";0,502;0,069;0,205;0,144;0,052
"supremo_tribunal_federal";0;0,078;0,014;0,075;0,06
"registrar";0,896;0,249;0,716;0,001;0,052
"processo";0;0,069;0,046;0,24;0,052
"esperar";0;0,098;0,948;0,095;0,077
"contar";0,59;0,565;0,57;0,049;0,169
"claro";0;0,624;0,364;0,066;0,052
"usar";0,778;0,099;0,431;0,27;0,939
"unidade";0,045;0;0,199;0,153;0,131
