ir;44;28;39;11;39
fazer;53;27;50;26;9
todo;28;23;49;23;1
ser;53;16;33;16;2
de;44;22;40;7;0
em;29;10;36;25;0
poder;33;9;34;7;2
agora;15;16;20;7;19
porque;28;10;20;10;2
ter;15;15;18;12;0
povo;9;9;21;12;1
então;11;6;18;9;4
pessoa;9;7;15;8;0
outro;10;6;15;7;3
bem;4;5;7;18;0
sobre;16;7;15;1;0
tempo;13;5;10;3;4
sim;21;2;4;2;1
mil;0;12;6;0;0
muita;9;5;6;6;0
dois;7;6;8;5;1
inclusive;7;3;17;1;0
haver;12;4;6;2;1
contra;16;2;5;1;0
o;0;6;0;1;5
k;0;6;0;1;5
ainda;9;5;6;2;0
n;11;0;9;1;0
bilhão;0;10;6;0;0
tudo;7;5;4;4;0
sempre;3;1;6;8;0
nada;3;5;7;1;0
assim;4;4;6;4;2
antes;9;1;4;1;5
algum;6;2;7;1;4
qualquer;10;0;3;3;0
parte;6;2;9;1;0
nenhum;6;3;7;1;0
infelizmente;4;4;9;0;0
desde;8;3;5;2;0
aquele;5;1;10;1;1
tipo;4;2;7;1;0
primeiro;3;4;4;4;2
além;7;4;3;2;0
principalmente;5;5;4;2;0
cada;2;2;8;1;2
tão;6;3;2;1;0
segundo;8;1;5;1;0
ele;4;0;6;3;0
tarde;2;1;7;4;0
pouco;2;3;5;0;3
ontem;3;3;6;1;0
muito;4;3;4;2;0
aqui;4;0;5;1;3
algo;1;6;6;0;0
tanto;1;4;6;1;0
menos;3;4;4;2;0
apenas;4;1;6;0;1
a;5;3;4;1;0
s;0;0;1;1;9
ninguém;4;1;3;2;0
dentro;4;0;5;1;0
milhão;0;4;3;2;0
fim;2;4;3;0;0
especialmente;2;4;1;3;0
aí;6;1;4;0;0
aquela;2;1;7;1;0
quase;0;4;3;0;0
durante;3;5;1;0;0
diante;5;1;0;2;0
alguma;3;2;3;1;0
verdade;4;1;2;0;0
três;1;1;5;2;0
logo;2;2;0;1;3
aliás;2;1;3;3;0
2;9;0;0;0;0
vário;2;3;2;1;0
quanto;1;2;5;0;0
tentar;5;1;1;0;0
somente;2;4;1;0;0
realmente;1;2;4;0;0
maioria;3;0;3;1;0
justamente;0;3;3;0;0
novamente;0;1;4;0;1
connosco;2;0;0;3;0
cinco;1;1;1;1;0
atrás;3;1;1;1;0
através;1;0;5;0;0
após;2;1;2;0;1
ali;0;2;1;3;0
alguém;1;2;3;0;0
talvez;3;0;1;0;0
nunca;2;0;1;0;0
juntamente;1;1;2;0;0
entanto;1;1;3;0;0
diretamente;3;1;1;0;0
acima;3;1;0;0;0
valor;0;1;3;0;0
urgentemente;0;0;3;1;0
senão;3;0;0;0;0
salvo;4;0;0;0;0
quê;3;0;0;1;0
quarto;0;1;3;0;0
mim;1;2;0;0;0
enfim;0;1;1;2;0
efetivamente;4;0;0;0;0
demais;0;3;0;0;0
cuja;2;0;0;2;0
amanhã;0;1;1;1;0
acercar;2;1;1;0;0
absolutamente;3;0;1;0;0
v;2;1;0;0;0
um;1;1;1;0;0
tal;2;0;0;1;0
sobretudo;2;1;0;0;0
simplesmente;1;1;1;0;0
sequer;1;2;0;0;0
qual;1;1;0;0;1
profundamente;2;0;1;0;0
pegar;2;0;1;0;0
mal;0;1;2;0;0
individualmente;1;0;0;0;2
imediatamente;2;0;1;0;0
extremamente;1;0;1;1;0
exatamente;2;0;1;0;0
cá;0;1;1;1;0
claramente;2;0;1;0;0
apesar;0;1;2;0;0
aonde;1;0;1;1;0
