"";"x"
"1";4
"2";4
"3";1
"4";0
"5";0
"6";0
"7";4
"8";0
"9";3
"10";1
"11";1
"12";1
"13";3
"14";1
"15";1
"16";0
"17";0
"18";4
"19";2
"20";3
"21";3
"22";3
"23";4
"24";0
"25";0
"26";2
"27";5
"28";5
"29";2
"30";2
"31";2
"32";2
"33";3
"34";2
"35";1
"36";2
"37";2
"38";2
"39";5
"40";5
"41";2
"42";2
"43";2
"44";3
"45";3
"46";2
"47";4
"48";2
"49";2
"50";2
"51";2
"52";2
"53";2
"54";2
"55";2
"56";2
"57";2
"58";3
"59";3
"60";3
"61";3
"62";3
"63";3
"64";3
"65";0
"66";0
"67";0
"68";5
"69";3
"70";2
"71";2
"72";1
"73";1
"74";1
"75";0
"76";0
"77";0
"78";3
"79";3
"80";3
"81";3
"82";3
"83";3
"84";1
"85";3
"86";0
"87";4
"88";3
"89";3
"90";4
"91";3
"92";4
"93";3
"94";3
"95";3
"96";3
"97";0
"98";5
"99";5
"100";1
"101";1
"102";1
"103";5
"104";3
"105";3
"106";3
"107";3
"108";3
"109";3
"110";3
"111";1
"112";3
"113";0
"114";0
"115";5
"116";5
"117";4
"118";3
"119";3
"120";1
"121";1
"122";3
"123";1
"124";1
"125";1
"126";1
"127";0
"128";1
"129";5
"130";5
"131";1
"132";3
"133";3
"134";3
"135";3
"136";1
"137";3
"138";3
"139";4
"140";2
"141";1
"142";3
"143";3
"144";1
"145";1
"146";3
"147";3
"148";3
"149";0
"150";0
"151";2
"152";2
"153";3
"154";2
"155";2
"156";2
"157";2
"158";2
"159";2
"160";0
"161";0
"162";2
"163";5
"164";0
"165";4
"166";4
"167";4
"168";2
"169";4
"170";3
"171";3
"172";1
"173";3
"174";3
"175";3
"176";0
"177";0
"178";5
"179";3
"180";4
"181";4
"182";4
"183";4
"184";4
"185";0
"186";4
"187";2
"188";4
"189";5
"190";3
"191";3
"192";3
"193";3
"194";3
"195";3
"196";3
"197";3
"198";5
"199";5
"200";5
"201";3
"202";2
"203";2
"204";1
"205";2
"206";3
"207";1
"208";4
"209";3
"210";2
"211";3
"212";2
"213";3
"214";2
"215";2
"216";2
"217";3
"218";2
"219";3
"220";3
"221";2
"222";0
"223";2
"224";3
"225";3
"226";5
"227";3
"228";3
"229";1
"230";3
"231";1
"232";1
"233";5
"234";3
"235";3
"236";2
"237";2
"238";2
"239";3
"240";3
"241";2
"242";5
"243";4
"244";3
"245";3
"246";4
"247";4
"248";5
"249";3
"250";3
"251";3
"252";3
"253";3
"254";3
"255";3
"256";3
"257";3
"258";3
"259";3
"260";4
"261";0
"262";0
"263";5
"264";5
"265";5
"266";2
"267";2
"268";3
"269";2
"270";2
"271";3
"272";2
"273";5
"274";5
"275";1
"276";1
"277";1
"278";5
"279";4
"280";4
"281";3
"282";3
"283";3
"284";4
"285";0
"286";0
"287";5
"288";5
"289";1
"290";1
"291";1
"292";2
"293";1
"294";1
"295";1
"296";2
"297";1
"298";1
