"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"mass";"chi.distance";"inertie"
"classe 1";-0,103220896827974;3,24113734284482;-1,89263150519067;7,85227011653487;-2,95169335518554;2,20589191540512;-0,0109209032756933;0,342916487961119;-0,200242840741484;0,830780249664077;-0,312292942825428;0,233386193930495;0,00016829427374643;0,136065093997928;0,0409099481178643;0,66846369746295;0,0846183818296309;0,0447206786418277;0,000113334257440391;0,111743125999183;0,0381029040999926;0,655867950037513;0,0926762436235134;0,0517600164072937;0,0106371662589086;3,73341495893017;0,148264942618483
"classe 2";0,580943352633182;0,583693049199251;0,304387502323526;-0,175624860508378;-0,70540269833207;0,26855483827437;0,496079404537091;0,49842742664453;0,259922710565089;-0,149969658535567;-0,602357784044369;0,229324466237286;0,0411412395087805;0,0340562335602666;0,00816631537467184;0,00258068540284711;0,0372968530587939;0,00511542362586734;0,0164062649493339;0,0165619393774458;0,00450397303136206;0,0014993883495654;0,0241889145659051;0,00350596930436994;0,0486118498032124;1,34390449175967;0,0877968548365199
"classe 3";0,828086034223586;-0,956427820837771;-1,48264832963253;-0,447241223951773;-2,16896818297744;-1,22236235928483;0,259317557232825;-0,299508162097803;-0,464295649468503;-0,14005489393108;-0,679218713612028;-0,382786338572048;0,0324066995525058;0,0354491688403518;0,075114348151199;0,00648814906074562;0,136703112395736;0,0410856027356078;0,01415072195881;0,0188769609866677;0,045363231300527;0,00412773047611581;0,0970809549921373;0,0308338399164871;0,0206361025422827;2,15839717399026;0,0961369643626947
"classe 4";0,500346149864034;-0,848882148449194;-0,24573847549138;0,485761930173;0,635892643366041;0,813083477102764;0,327593453374908;-0,555791694598532;-0,16089324527666;0,318044674205402;0,416340301754272;0,532353100385712;0,0197284209049244;0,0465654469279951;0,00344080638233165;0,0127629607507107;0,0195932716376999;0,0303128880967249;0,00649765873873398;0,0187029699050309;0,00156733594236634;0,0061243883932047;0,0104950225240337;0,0171587657419376;0,025954685671737;1,67146660696946;0,0725122168752492
"classe 5";-2,0720560107068;1,44159307714864;-1,21831064307646;-1,14938268024134;-0,462238795492127;-0,271950441096283;-0,673520148318358;0,468588676232102;-0,396010899697055;-0,373605920530417;-0,150250350612945;-0,0883972732763784;0,512028766272262;0,203233140820115;0,127988270564124;0,108136910694943;0,0156679552464263;0,00513188314194634;0,389106534092466;0,188343622090269;0,134518376898674;0,119727755013746;0,019364145075782;0,00670262739447065;0,0906286565259015;1,35871263887996;0,167309565989196
"classe 6";0,330341404245164;-0,902976085905495;-0,0318195406379647;-0,153434250893222;-1,34693724007313;-0,913041268816453;0,174179488889095;-0,476113230436498;-0,0167775254745034;-0,0809014524223198;-0,710201134422465;-0,481420310906813;0,0294779220515714;0,180609718698311;0,00019775222177732;0,00436484435274074;0,301337876497448;0,13102600659359;0,0140803279219299;0,10520569403393;0,000130639515036342;0,00303760558643869;0,234089249389218;0,107564153487465;0,129028826720562;0,902792374935842;0,105162890078705
"classe 7";-0,210729009051092;0,682944528078571;0,257060256990843;-0,0371239919920304;-0,515283950140705;-0,572107289802077;-0,194727320305736;0,631085195479479;0,237540409013142;-0,0343049849292792;-0,476155908763022;-0,528664373131108;0,0015017615365045;0,0129342413410741;0,00161579000423323;3,19900522781794e-05;0,0055212030045887;0,00644040434860356;0,000585728400351161;0,00615203066967613;0,00087160057332205;1,81784551533472e-05;0,00350219935217567;0,00431720424737156;0,0131900861610467;2,55150921556157;0,0858700893904754
"classe 8";-0,341527267815874;-1,08470083798762;-1,7776923267162;0,381852895484331;1,90089360634533;0,347999106483893;-0,118305783370234;-0,375742713550061;-0,615796462309998;0,132274667909741;0,658473651724337;0,120547642265901;0,016310988170595;0,134917172255159;0,319525421209749;0,013995066401094;0,310694297788872;0,00985352464464363;0,00909453899873222;0,0917381279133561;0,246401369663369;0,0113689955927986;0,281738074294061;0,00944248230584617;0,0779704286778002;1,25475389430101;0,122757214843972
"classe 9";-0,0832182104949854;0,622933089240217;-1,1609240013185;0,626411680983776;0,0669532198896228;0,547746298213666;-0,0532791951989144;0,3988234481381;-0,743263957605531;0,401050563662696;0,0428657820262791;0,350686247257952;0,000139964393486876;0,00643104274463201;0,019694779220694;0,0054431938178955;5,57072749702587e-05;0,00352813803428079;5,1565678019268e-05;0,00288939414497662;0,0100353278990123;0,00292175423732629;3,33785082173357e-05;0,00223399856445849;0,00744601638123604;3,30052399249978;0,0811128713705635
"classe 10";0,676249310673819;0,220054296300978;-0,0204698778960262;0,678193261725071;0,890789489965623;-0,631516395821123;0,460297647411471;0,149782740316882;-0,0139330813201903;0,461620822284186;0,606327134236168;-0,429849623075539;0,0445660294037234;0,00386961492564589;2,95245638729215e-05;0,0307645448809363;0,0475475997286334;0,022613374590174;0,0185338051910623;0,00196250434582679;1,69817102766517e-05;0,0186405131576407;0,0321588930730832;0,0161629334188633;0,0405276034464419;1,50306640837601;0,0915603113778916
