"";"Valeurs propres";"Pourcentages";"Pourcentage cumules"
"facteur 1";0,220164153395167;12,0268323056777;12,0268323056777
"facteur 2";0,180536235885587;9,86209153765851;21,8889238433362
"facteur 3";0,159187632898077;8,69588866524803;30,5848125085843
"facteur 4";0,15111232640841;8,2547616449294;38,8395741535137
"facteur 5";0,1353738459384;7,39502102666783;46,2345951801815
"facteur 6";0,128100980504246;6,99772868089107;53,2323238610726
"facteur 7";0,119183705175299;6,51060771523454;59,7429315763071
"facteur 8";0,104277766980824;5,69634610062019;65,4392776769273
"facteur 9";0,094289281797551;5,15070851868671;70,589986195614
"facteur 10";0,0900831634508322;4,92094232272008;75,5109285183341
"facteur 11";0,0860931715482788;4,7029823924907;80,2139109108248
"facteur 12";0,0809538000992419;4,4222356968049;84,6361466076297
"facteur 13";0,0797205005096796;4,35486465970558;88,9910112673353
"facteur 14";0,069608708243741;3,80249122371751;92,7935024910528
"facteur 15";0,0572818532426229;3,12911630927921;95,922618800332
"facteur 16";0,0453020756487071;2,47470107428527;98,3973198746173
"facteur 17";0,0293387904645163;1,60268012538275;100
