"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"mass";"chi.distance";"inertie"
"tratar";-0,0716752284281928;-0,0642810769955285;0,105595808758824;0,171634652018708;0,20717765742572;1,00952910624037;-0,0679714401040244;-0,060959378444131;0,100139188220058;0,162765501070602;0,196471836106005;0,957362099610638;0,003911740542473;0,0025799775838058;0,00613886307468366;0,0153955461387204;0,0200958260966835;0,451518348699673;2,07657545015293e-05;1,67022828070197e-05;4,50715927499572e-05;0,000119074698797591;0,000173498362512875;0,00411952586120268;0,00404212317838528;0,537721460932667;0,0011687571580478
"presente";-0,936574939383098;-1,0637275129739;-1,14574461035945;0,285501727760195;1,75027301813425;0,165244307320771;-0,367533293489503;-0,417430853398885;-0,449616226567653;0,112037367100346;0,686846914016737;0,0648456220064974;0,113993453514266;0,120579479179558;0,123348310865583;0,00727052227037167;0,244790522188967;0,00206468452910716;0,00186612619312935;0,00240722523531037;0,00279274696770074;0,000173409715038946;0,00651729738965806;5,80910139387754e-05;0,00212743325178173;1,30159503143393;0,0036041902475343
"eminente";-4,29601929258282;2,96810948238144;-2,46313649040399;-2,59631755341967;-1,10790579152179;-0,646750429433173;-0,665118060525347;0,459528481577547;-0,381347581035131;-0,401966932182978;-0,171528128976056;-0,100131159096799;0,488466290168669;0,191196420884159;0,11610256735517;0,122453457750418;0,0199754225366082;0,00644141748039165;0,0235580662851745;0,0112451959145656;0,00774433533074313;0,00860444400152549;0,00156679745927563;0,000533925477679388;0,00127645995106904;2,8841791233478;0,010618218337056
"segurança";1,09981105369544;-0,480966220999108;0,0279124230455115;-0,246693629105684;-1,18893578420841;-0,746384676285345;0,590136773734258;-0,258076924196993;0,014977251981453;-0,132370903067446;-0,63795933448061;-0,400495197195661;0,21730820525908;0,0340790037846357;0,000101204018470751;0,00750428145709446;0,156151053700851;0,0582332780281547;0,00257330997517427;0,000492135955200857;1,65749039521668e-06;0,000129470793833279;0,00300727220289599;0,00118517197105325;0,00212743325178173;1,10701453347067;0,00260712940605316
"hora";-0,250575263900781;-0,566320077914546;-1,35366888024997;2,50562334442605;-0,264613447723742;0,645392639549634;-0,0836151336926783;-0,188976869825518;-0,451709409124027;0,836108192270078;-0,0882995730059857;0,21536280557039;0,00605643190858122;0,0253677610326013;0,127799175282972;0,415647623200691;0,00415290911169847;0,0233772976573159;0,000120219480036276;0,000614076348440004;0,00350851503802038;0,0120207073922339;0,000134067118486588;0,000797528971952685;0,00191468992660355;1,51078645249883;0,00437023324018422
"n";-0,540686558753196;-0,0617689125981727;-0,225757522844274;1,53658798588655;2,03168575370039;0,34680596763215;-0,205001977396219;-0,0234197595986841;-0,0855962439714978;0,582599235084377;0,770316166018146;0,13149191150848;0,0326594371983811;0,000349522578396897;0,00411684700270976;0,181044651178486;0,283542900838602;0,00781801533711739;0,000746325594680668;9,74040692750312e-06;0,000130113287830952;0,00602770591648774;0,0105378074718582;0,000307050856339381;0,00255291990213807;1,40383003481781;0,00503113821931258
"prerrogativa";-1,44762639244338;-1,55511772586776;1,45155991571539;1,1177315061461;0,957813491584035;-0,260102069384259;-0,48646526624887;-0,522587017279867;0,48778710070547;0,37560627353192;0,321866883356378;-0,0874055786046637;0,235599509147655;0,222949094926769;0,171275027329574;0,0964028036001173;0,06341784125619;0,00442542368466859;0,00245206296065152;0,00282973115140829;0,00246540666716608;0,0014618190530952;0,00107344681749435;7,91600841907999e-05;0,00117008828847995;1,39940237457502;0,00229141549469507
"tipo";1,66182506946915;0,807383575879219;0,518242107164985;-0,721239487035601;0,555937939413683;1,25653365669193;0,67339245906108;0,327161998910336;0,209998232271404;-0,292255328596047;0,225273058509531;0,509163271464594;0,264088565720504;0,0511159669097093;0,0185697943300014;0,0341421809074413;0,0181727130555194;0,0878482433091294;0,00499396484903463;0,00117878524159044;0,000485668863722972;0,000940662563579342;0,000558891487304758;0,00285511180904086;0,00180831826401447;1,51734316283005;0,00416334588388266
"sobre";0,344328823449577;-0,289828165225364;-0,283788550952786;-0,157227285713195;-0,0328491833998217;-0,411862051823637;0,497759413270434;-0,418973631154492;-0,410242805699393;-0,227286698518758;-0,0474865568664848;-0,595384990458436;0,119778886488017;0,0695876968609903;0,0588282555595799;0,0171412555793135;0,000670302482141766;0,0997109642177487;0,000517078596424315;0,000366345599369634;0,000351236422479223;0,000107811636451684;4,70607625267951e-06;0,000739798355390644;0,00436123816615254;0,466827624750043;0,00095043604727374
"cidade";0,551869234006565;0,0813714799326574;0,245102407314813;0,1190507228463;0,0645339617818661;-0,116271495955427;0,869206210703931;0,128161874903131;0,386041695330285;0,187507513212025;0,101642412596352;-0,183130169584869;0,0439945093163598;0,000784311015608302;0,00627457016739432;0,00140521723224313;0,000369905615429983;0,00113626198246236;0,00220296312074498;4,78937992508562e-05;0,000434540253681856;0,000102517718699649;3,01239220489212e-05;9,77870580232393e-05;0,00723327305605787;1,23455444948561;0,0110244100451698
"parlamento";-0,870389682512017;0,654767241968971;-1,55993920239548;-0,217590403770479;-1,05356890296797;0,369996418261986;-0,392643099206582;0,295373261323204;-0,703707058239342;-0,0981576094140716;-0,475277416082318;0,166909768441235;0,106877534998696;0,0495964533243883;0,248220142219714;0,00458449726941906;0,0962881859894217;0,0112372448607219;0,00177286675750602;0,0010032808324034;0,00569460982169405;0,000110797026261674;0,00259761339566267;0,000320363970810271;0,0023401765769599;1,24923408328539;0,00365204632342532
"silvestre";1,86744447025317;1,54055622730396;1,05034109558069;-1,71686987785393;0,346813733672048;2,79849857815919;0,441840677308397;0,364498338636741;0,248512568094352;-0,406214461401639;0,082056745154375;0,662129732324949;0,224646697728502;0,125365352768341;0,0513840198672963;0,130326487319633;0,00476414945719886;0,293535526414117;0,00370955095147235;0,00252453301721627;0,00117350964478846;0,00313545599136491;0,000127943586707314;0,00833059705558875;0,00106371662589086;1,84871932912888;0,00363553149440989
"outro";0,0354159657877345;0,713937585098176;0,091214652086424;0,439154719332877;-0,434005941014254;0,872540399200296;0,0274730140348328;0,553818506968111;0,0707573932042987;0,340662847937175;-0,336668817113406;0,676850513603395;0,000504903547130117;0,168247456891199;0,00242159867398343;0,0532842225380702;0,046621876503502;0,178314711668798;5,60368115865069e-06;0,00227717144638488;3,71710175215817e-05;0,000861609236838443;0,000841524155632172;0,00340131086330578;0,00446760982874162;0,739551093147161;0,00244349584233132
"saber";0,340887224358473;-0,0548973600326841;0,0750970947142337;-0,559787310096679;-0,450621618290495;-0,0802208506008875;0,423563892705312;-0,0682118244778706;0,0933106772419577;-0,695554644495117;-0,559912584402328;-0,0996771170306798;0,111856508210918;0,00237881408605237;0,00392508254402548;0,207032815352126;0,120185482415916;0,00360429373595288;0,000605680341113753;1,57081466641154e-05;2,93946503660686e-05;0,00163330813687039;0,00105839084147074;3,35425868189943e-05;0,00521221146686523;0,478248262647842;0,00119214430757986
"pouco";-0,486167504529705;-1,45852733758583;0,92483105412083;0,866078167269094;0,314208868580569;-0,0247990892148508;-0,241031462141561;-0,723106693631908;0,45851147831096;0,429383052221251;0,155778044205324;-0,0122948586187732;0,0412769383234801;0,304636925062532;0,107999848329045;0,0899089830803722;0,0106013374206777;6,2490345857999e-05;0,000351986362562383;0,00316798509975458;0,00127373414544489;0,00111703855818346;0,000147024889195356;9,15852309584701e-07;0,00148920327624721;1,12280798826104;0,00187743526210395
"além";-0,155250536015792;0,0143122317916824;0,796883117030157;1,49727894142614;0,0532845501735208;0,641431103902973;-0,0852632777052051;0,00786024850639715;0,437646582418372;0,822302540533495;0,0292637662673172;0,352272653894556;0,00566544783957664;3,94821255281666e-05;0,107924487712308;0,361681873701396;0,00041035411629954;0,056269609922774;4,35854049424786e-05;3,70415874970788e-07;0,001148323150466;0,00405396786336018;5,1342554922142e-06;0,000744003365378275;0,00180831826401447;0,967808184181064;0,0016937661507556
"política";0,874676332174689;0,305693373384815;0,528003736108681;-0,740838017127104;-0,991984946305325;0,268629637637075;0,528186570986163;0,184597580524302;0,318843065239622;-0,44736627427619;-0,59902515706148;0,16221608148012;0,175872018625717;0,0176153720732472;0,0463381514372832;0,0865967915549357;0,139091413011421;0,00965196403367965;0,00170899185271757;0,000208745581231692;0,000622757882378389;0,00122600365067942;0,00219814028375959;0,00016119556712664;0,00223380491437081;0,978638519559788;0,00213938946827887
"político";1,38440693684288;0,340919777982794;0,390633166847142;-0,127594716509413;-0,179030113035139;-1,51466765726109;0,65059809998235;0,16021427941399;0,183576945027749;-0,059962773892278;-0,0841346921057114;-0,71181375482419;0,421864087832542;0,0209781502097396;0,0242854394933494;0,00245959548911126;0,00433795809681688;0,293822853055128;0,00224257081529258;0,000135995026616127;0,000178548769434241;1,90495190397077e-05;3,75034140099054e-05;0,00268443774401457;0,00117008828847995;1,00011696257855;0,00117036201757374
"área";0,616030187164594;1,15802823874368;0,968043113425024;-0,82859392998054;0,103161043211223;1,53821913374717;0,257553587983912;0,484155377592619;0,404725259217073;-0,346423509910171;0,0431301864304822;0,643107862661019;0,0627289044266892;0,181768987230511;0,11199943422096;0,0778933695166502;0,00108164145126164;0,227565266843922;0,000645877147534168;0,00228236043268214;0,00159490687280011;0,00116850190541533;1,81124575452446e-05;0,00402700666469679;0,00170194660142538;1,15409470324093;0,00226688153864273
"defensoria_pública";1,58486963445994;6,28470441944597;2,16703365293132;1,81071226407684;6,6227440204539;-12,3677313234401;0,100882557205234;0,400043662473721;0,13793935583352;0,115258239284265;0,421561078572073;-0,787249837846169;0,0124449446855683;0,160469821310647;0,0168228630038319;0,0111495682371874;0,13361954162926;0,440952500771366;0,0026718559283408;0,0420141576851438;0,00499525034883191;0,00348758526037471;0,0466553966178682;0,16270692276226;0,00106371662589086;6,6660775854761;0,0472679399804136
"mesa";-1,85247055849727;1,66383811724822;-1,32271927561224;-1,05854612235229;0,295277654245814;-0,12823042698906;-0,611614876212904;0,549335663906357;-0,43671127851784;-0,349491414380877;0,09748937985632;-0,042336779048873;0,32861897763702;0,217385175365127;0,121140145656494;0,0736483234043223;0,00513380458102785;0,000916174146954679;0,0047453901937336;0,00382817196524894;0,0024193832216775;0,00154949033197659;0,000120567557734266;2,27379588634566e-05;0,00138283161365812;1,5162761334383;0,00317925891573766
"passado";0,399851982296564;0,596111218300273;0,277990298655365;-0,675132203288721;-0,157545506589125;0,362435968598726;0,364331872416861;0,543156782879106;0,253295545619462;-0,615158085100269;-0,143550243459609;0,330239640960077;0,0585590095249489;0,10672534791413;0,0204652573894472;0,114584571677385;0,00558978900787544;0,027993915158283;0,000255103086501157;0,000566985296112278;0,000123303807275554;0,000727268628737607;3,96031060202491e-05;0,000209594454846447;0,00159557493883629;0,77531055598993;0,000959110400323499
