"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"mass";"chi.distance";"inertie"
"classe 1";0,529021626744598;0,483083365083636;-0,091651019515726;-0,487415056198541;-6,40823394374271;-1,89919417249774;0,0784863937061548;0,071670928499022;-0,013597474351941;-0,0723135842943058;-0,950734614319568;-0,281767122573717;0,0186840256215532;0,00870633386662983;0,000260671860496334;0,00538154649049346;0,740618985391428;0,0485315629432628;0,00258523056687892;0,00215574106477939;7,7593801538104e-05;0,0021945744045391;0,37934044125422;0,033318939276819;0,00923745698243072;0,453786563426673;0,00190219788126718
"classe 2";1,10290733601756;-0,433717423659814;-0,936920030479524;0,207415651848943;0,25678202703414;-0,858287785722921;0,623604261060843;-0,245231874571814;-0,529751960296133;0,117276656052322;0,145189320075192;-0,485291830885754;0,415587673098716;0,0359141750998024;0,139407328295065;0,00498715966671063;0,00608566968018628;0,0507238733585339;0,0637468565910938;0,00985812820821956;0,0460029594016746;0,00225457026411328;0,00345549261401541;0,0386052694118917;0,0524059651029403;0,200595473855394;0,00210873973953646
"classe 3";-0,181453120125017;4,89153149965558;2,1248836245204;-1,62257923391088;0,24893282510477;0,582684590950329;-0,0323254406804583;0,871414672945653;0,378542950983633;-0,289058621527106;0,0443467892191605;0,103803870482937;0,0019439816408135;0,789442563537638;0,123916611057718;0,0527425010392407;0,000988375878643073;0,00404010157309143;0,000618230273728509;0,449273803548282;0,0847796630997882;0,0494348492525;0,00116355180160319;0,00637512131963571;0,0187767916440258;0,482538304194652;0,00437204853406272
"classe 4";1,78933784669125;-1,60211751494936;1,31209959862602;-0,055288077023862;2,99019517830573;-1,92550108153283;0,398695298599947;-0,356979383293152;0,292358395165236;-0,0123191360529296;0,666267000215324;-0,429034813115825;0,356593989068728;0,159751744619139;0,0891289679488241;0,00011551487360066;0,269018978896935;0,0832221238953481;0,0912405075633633;0,0731461939845402;0,0490610232668764;8,71095894216233e-05;0,25480155288651;0,105655115852955;0,0284972529131196;0,351332860407568;0,00351755210980023
"classe 5";-0,226159185927304;-0,697053070596503;-0,961011592677179;-0,249409912846701;0,690679573182502;2,09062040612553;-0,0896039345474368;-0,276171394311153;-0,380751369865883;-0,0988158381211242;0,273646224074177;0,828300708927302;0,0275390133261854;0,146190500082474;0,231138938770971;0,0113640450784337;0,0693853302106565;0,47427717130087;0,00462904172502398;0,0439738327512402;0,0835833712859164;0,00562976221908304;0,0431733605593511;0,39556057659121;0,0905029282134879;0,159791427625687;0,00231083844796476
"classe 6";0,0689753381702561;1,25242454825046;0,119387054732071;0,0234546483538548;0,502397229524944;-0,239455820113798;0,0500680380308856;0,909113917757626;0,086661055317571;0,0170253348071043;0,364681700180682;-0,173816952931512;0,00390855550411437;0,720110760155865;0,00544300876246497;0,000153345866495035;0,0560167105392702;0,00949382758408567;0,000615847887405865;0,203043420997731;0,00184501650593558;7,12104338006396e-05;0,0326723408227026;0,00742226701092683;0,129445148825696;0,129359738617473;0,00216612760941785
"classe 7";-0,0763930794861494;-0,344862048211267;-1,98794346865958;0,20600786087271;-1,3907405252797;-2,11173599215792;-0,0235611577612813;-0,106362371806957;-0,613121633538667;0,0635369557391128;-0,42893226901611;-0,651301730419566;0,0011042266440862;0,0125750159540902;0,347579535051783;0,00272460398513761;0,0988637162020139;0,170055769395344;8,49153248206178e-05;0,00173048901669077;0,0575024171668959;0,000617512318822997;0,0281429915646872;0,0648869386607873;0,0145505041357242;0,269549381082455;0,00105719407057334
"classe 8";-0,11189940241108;0,176916564348381;-0,4582297140912;-1,07904658928642;-0,339909083521991;0,740897911944556;-0,0775397378485687;0,12259282645896;-0,317526377616633;-0,747716143758212;-0,235537104405775;0,513398897821498;0,012401469323602;0,0173229620286513;0,0966674037005098;0,391276366068136;0,0309127522887032;0,109571167573796;0,000972960209295688;0,0024320726223181;0,0163157123720066;0,0904731971479682;0,00897769994404384;0,0426536584190022;0,0777033146169172;0,117816096173862;0,00107857115560067
"classe 9";-1,95651558102016;-4,52821025176665;7,35374474259559;-4,61185233712886;-2,17238080532885;0,810172690084704;-0,190886379434326;-0,441792372451455;0,71746410957093;-0,449952867056258;-0,211947152736514;0,0790440582365307;0,0750289843762208;0,224586250148495;0,49269198562429;0,141448663387371;0,024987849609656;0,00259286308176608;0,0298137997477468;0,159699617391921;0,421180067884051;0,165653835377229;0,0367555242935216;0,00511217730006171;0,00778844412244159;0,837494974637844;0,00546279782636781
"classe 10";0,924206809796636;0,166351764605413;1,6354682735997;3,29356165353808;-1,16171365990158;1,36415238331942;0,220207672620684;0,0396360798598342;0,389677568220477;0,784745945031441;-0,276797637267869;0,32503203638678;0,124854744408591;0,00226041976646929;0,18173849150605;0,538002051310564;0,0532916831816797;0,0548219441305872;0,0372852984555603;0,00120796435619411;0,116757165408845;0,473511892070861;0,0589111482072202;0,0812316112488263;0,0436515124071726;0,306676199068604;0,00410543744776582
"classe 11";-2,11623605500886;-0,219303608360134;-0,0206939568739099;0,663306633731591;0,224638485018507;-0,665124259184504;-0,905681533331727;-0,0938549496001078;-0,00885635349983909;0,283874082801514;0,0961381066518245;-0,284651968521456;0,937748233413544;0,00562752122456094;4,16812817323417e-05;0,0312588021906834;0,00285443976513028;0,0186691932555561;0,657856735711152;0,00706471525282696;6,2905727085942e-05;0,0646296476862424;0,00741261476174489;0,0649843356649703;0,146893678681398;0,256232618501999;0,00964432721067576
"classe 12";1,01450098965146;-0,398174089569408;0,159711694244549;-0,733824795732668;-0,487067094241545;-3,01631260871729;0,304679164326043;-0,119581301648577;0,0479652814850814;-0,220385320276891;-0,146278019201551;-0,905871570697853;0,19264017670352;0,0165827082490034;0,00221927592264941;0,0341989126090563;0,011995380313385;0,343207330965011;0,0124899875541122;0,00192399104790737;0,000309549772442874;0,00653494324683031;0,00287895340293868;0,110410341873748;0,012135482702409;0,271014466561166;0,00089133714050426
"classe 13";0,337569410295474;0,0866720022981321;-0,146450836423616;-1,35676923099828;-0,404222352118963;0,0699616159484611;0,23011202834167;0,0590819832632344;-0,0998316138665375;-0,924873256327656;-0,275547554103668;0,0476909603209304;0,0766379364934318;0,00282320778387401;0,0067049770460633;0,420063763905163;0,0296860767598338;0,000663436308246373;0,00615070201351852;0,000405467618682393;0,00115766320445113;0,0993597497487283;0,00881940256581614;0,000264191098790754;0,0539757290345952;0,142973193051749;0,0011033359013876
