"";"Valeurs propres";"Pourcentages";"Pourcentage cumules"
"facteur 1";0,0137475993074643;30,2640427060722;30,2640427060722
"facteur 2";0,00768235578255906;16,9119813784776;47,1760240845499
"facteur 3";0,00639032307881711;14,0676932923055;61,2437173768554
"facteur 4";0,00466457929655267;10,2686311900349;71,5123485668903
"facteur 5";0,00371382460615027;8,17563444858101;79,6879830154713
"facteur 6";0,00277069553260019;6,09942478310432;85,7874077985756
"facteur 7";0,00228675505964625;5,03407549461272;90,8214832931884
"facteur 8";0,00173064832842307;3,8098589978652;94,6313422910536
"facteur 9";0,000738850458844293;1,6265095701272;96,2578518611808
"facteur 10";0,000592958924852314;1,30534312379425;97,563194984975
"facteur 11";0,000411807259843847;0,906554826035552;98,4697498110106
"facteur 12";0,000291571402453554;0,641866930972642;99,1116167419832
"facteur 13";0,000248075333525234;0,546114439344651;99,6577311813278
"facteur 14";0,000118638879176969;0,261172298210849;99,9189034795387
"facteur 15";2,57723343643419e-05;0,056735362327161;99,9756388418659
"facteur 16";1,08085085097601e-05;0,0237939116359552;99,9994327535018
"facteur 17";2,57674681516401e-07;0,000567246498190547;100
