"";"banalfreq";"X.partido_AVANTE";"X.partido_MDB";"X.partido_NOVO";"X.partido_PCdoB";"X.partido_PDT";"X.partido_PL";"X.partido_PODE";"X.partido_PP";"X.partido_PRD";"X.partido_PSB";"X.partido_PSD";"X.partido_PSDB";"X.partido_PSOL";"X.partido_PT";"X.partido_REDE";"X.partido_REPUBLICANOS";"X.partido_SOLIDARIEDADE";"X.partido_UNIÃO"
"tratar";38;0,4756;-0,8241;-0,3448;0,5866;-0,2643;-0,3505;-0,2196;0,4635;-0,1236;-0,2672;0,4817;-0,216;-0,2066;1,158;-0,0035;-0,2982;-0,0088;-0,6285
"sobre";41;-0,1908;0,2223;0,24;1,0475;-0,3156;0,8218;0,3763;0,3995;-0,1334;0,3015;-0,9092;-0,2331;-0,2412;-0,4006;-0,0038;0,2812;-0,0095;0,2461
"outro";42;1,1349;-0,1771;0,2334;-0,4807;0,2708;-0,4509;0,3684;-0,8243;-0,1366;-0,3119;-0,2464;1,771;-0,2532;0,8685;-0,0039;-0,3296;-0,0097;-0,381
"saber";49;-0,2282;0,3683;-0,1357;-0,5611;-0,2682;1,3518;-0,2833;-0,3353;-0,1595;0,2245;-0,6092;-0,2787;0,2633;0,9089;-0,0045;0,2309;-0,0114;-0,8981
"pouco";14;-0,0651;0,2989;-0,1269;1,3034;-0,578;0,2551;-0,0808;-0,1543;-0,0455;0,3567;1,3504;-0,0795;0,2471;-1,5617;-0,0013;-0,1097;-0,0032;0,1904
"além";17;0,7789;-0,3682;-0,1541;-0,1943;-0,702;-0,4739;0,6942;-0,2124;-0,0552;0,8252;1,0235;-0,0965;0,1956;0,2528;-0,0016;-0,1332;-0,0039;-0,1833
"política";21;-0,0976;1,1008;-0,1904;-0,2401;-0,3764;1,3505;-0,1212;-0,7412;-0,0682;0,6811;-0,7966;-0,1193;-0,5442;1,0918;-0,0019;-0,1646;-0,0049;-0,6751
"político";11;-0,0511;0,3745;-0,0997;-0,1257;-0,4541;0,7947;-0,0635;-0,388;-0,0357;0,4368;-0,7672;-0,0624;0,3178;0,3283;-0,001;0,7447;-0,0025;0,2543
"área";16;-0,0744;1,3995;-0,145;-0,1829;-0,2462;-0,9608;-0,0923;-0,5646;-0,052;-0,2877;-0,2447;0,7241;-0,4145;1,8244;-0,0015;-0,1254;-0,0037;-0,1659
"passado";15;-0,0697;-0,3249;-0,1359;0,4866;0,3979;0,2259;-0,0866;-0,5292;-0,0487;0,3348;-0,4882;-0,0852;-0,3886;0,9949;-0,0014;-0,1176;-0,0035;0,537
