"";"X.partido_AVANTE";"X.partido_MDB";"X.partido_NOVO";"X.partido_PCdoB";"X.partido_PDT";"X.partido_PL";"X.partido_PODE";"X.partido_PP";"X.partido_PRD";"X.partido_PSB";"X.partido_PSD";"X.partido_PSDB";"X.partido_PSOL";"X.partido_PT";"X.partido_REDE";"X.partido_REPUBLICANOS";"X.partido_SOLIDARIEDADE";"X.partido_UNIÃO"
"tratar";10;0;0;8,2;3,52;3,3;0;5,46;0;2,62;5,02;0;3,68;6,11;0;0;0;1,49
"presente";0;0;0;0;2,35;1,65;0;10,91;0;0;2,87;0;0;0,94;0;0;0;2,99
"eminente";0;0;0;0;12,91;0;0;0;0;0;0,72;0;0;0;0;0;0;0
"segurança";0;6,56;0;0;0;5,77;0;1,36;0;0;0;0;1,84;1,88;0;0;0;5,97
"hora";20;0;0;0;1,17;0,82;0;4,09;0;0;2,15;0;9,19;0,47;0;0;0;2,99
"n";10;0;0;0;0;0;16,13;9,55;0;2,62;4,3;16,39;0;1,41;0;5,95;0;1,49
"prerrogativa";0;0;0;0;0;0,82;0;2,73;0;0;4,3;0;0;0;0;0;0;2,99
"tipo";0;0;0;0;0;0,82;0;0;0;10,5;0;0;1,84;5,17;0;0;0;0
"sobre";0;4,38;5,15;12,3;3,52;6,6;8,06;5,46;0;5,25;2,15;0;3,68;3,76;0;5,95;0;4,48
"cidade";0;21,88;0;20,49;1,17;4,95;64,52;8,19;0;7,87;3,59;0;0;5,64;0;0;0;17,91
"parlamento";10;4,38;0;0;8,22;1,65;0;1,36;0;0;0,72;0;9,19;1,41;0;0;0;0
"silvestre";0;0;0;0;0;0;0;0;0;0;0;0;0;4,7;0;0;0;0
"outro";20;4,38;5,15;0;4,69;3,3;8,06;1,36;0;2,62;4,3;24,59;3,68;6,11;0;0;0;2,99
"saber";0;6,56;5,15;0;4,69;9,07;0;4,09;0;5,25;3,59;0;5,51;7,05;0;5,95;0;1,49
"pouco";0;2,19;0;8,2;0;1,65;0;1,36;0;2,62;3,59;0;1,84;0;0;0;0;1,49
"além";10;0;0;0;0;0,82;8,06;1,36;0;5,25;3,59;0;1,84;1,88;0;0;0;1,49
"política";0;6,56;0;0;1,17;4,95;0;0;0;5,25;0,72;0;0;3,76;0;0;0;0
"político";0;2,19;0;0;0;2,47;0;0;0;2,62;0;0;1,84;1,41;0;5,95;0;1,49
"área";0;6,56;0;0;1,17;0;0;0;0;0;1,43;8,2;0;3,76;0;0;0;1,49
"defensoria_pública";0;0;0;0;1,17;0;0;0;0;0;0;0;0;0;0;53,57;0;0
"mesa";0;2,19;0;0;7,04;0;0;1,36;0;2,62;0,72;8,2;0;0,47;0;0;0;1,49
"passado";0;0;0;4,1;2,35;1,65;0;0;0;2,62;0,72;0;0;2,82;0;0;0;2,99
"liberdade";0;0;20,62;4,1;1,17;1,65;0;4,09;0;0;0,72;0;0;0,94;0;0;0;2,99
"flagrante";0;0;0;0;0;7,42;0;1,36;0;0;2,15;0;3,68;0,47;0;0;0;0
"próprio";0;2,19;0;4,1;1,17;0,82;0;4,09;14,29;0;1,43;0;1,84;1,41;0;0;0;0
"fim";0;2,19;10,31;0;1,17;0;0;0;0;5,25;0;0;0;1,88;0;0;0;1,49
"santa_catarina";0;15,32;0;0;3,52;0,82;0;0;0;0;2,15;0;0;0;0;0;0;0
"necessário";0;0;0;0;1,17;0,82;0;2,73;0;2,62;1,43;0;3,68;0,94;0;0;0;0
"brasileiro";10;8,75;15,46;4,1;5,87;6,6;24,19;6,82;0;10,5;3,59;0;16,54;6,58;0;29,76;0;1,49
"urbano";0;4,38;0;0;0;0;0;0;0;0;0;0;0;4,23;0;0;0;0
"estadual";0;4,38;0;0;1,17;2,47;16,13;0;0;0;0;0;0;0,94;0;5,95;0;2,99
"acontecer";0;8,75;15,46;0;2,35;3,3;0;4,09;14,29;0;0,72;0;7,35;2,35;0;0;0;5,97
"realizar";10;0;0;0;1,17;0;0;1,36;0;5,25;0;0;0;2,35;0;0;0;2,99
"ato";0;0;0;0;0;4,95;0;0;0;0;2,87;0;0;0,94;0;0;0;0
"deixar";0;4,38;0;4,1;2,35;0;0;2,73;0;5,25;1,43;0;0;2,82;0;0;0;0
"compromisso";0;8,75;0;0;1,17;0,82;0;0;0;0;0;0;1,84;1,41;0;0;0;0
"movimento";0;0;0;4,1;2,35;0,82;0;0;0;2,62;0;0;0;3,29;0;0;0;0
"gerar";0;0;0;0;1,17;2,47;0;0;0;0;2,15;0;0;2,82;0;0;0;2,99
"segundo";0;2,19;0;12,3;0;3,3;0;2,73;0;0;0;0;1,84;1,88;0;0;0;0
"parabéns";0;0;0;0;11,74;1,65;0;0;0;0;3,59;8,2;0;2,82;0;5,95;0;1,49
"investigação";0;0;0;4,1;0;0;0;0;0;0;2,87;0;7,35;0,94;0;0;0;1,49
"honra";0;2,19;0;0;2,35;4,12;0;0;0;0;4,3;0;0;0;0;0;0;0
"conceder";0;0;0;0;15,26;0;0;8,19;28,57;0;0,72;0;0;0;0;0;0;0
"dois";0;2,19;5,15;4,1;4,69;3,3;0;2,73;0;15,75;2,15;0;3,68;2,35;0;0;0;1,49
"acusar";0;2,19;0;0;0;1,65;0;0;0;10,5;0;0;1,84;0,47;0;0;0;1,49
"grave";0;2,19;0;8,2;0;0,82;0;0;28,57;13,12;0;0;0;0;0;0;0;0
"trabalhador";0;0;0;0;0;0,82;0;1,36;0;2,62;0,72;73,77;0;5,64;0;0;0;0
"feira";0;0;0;0;0;0;0;0;0;0;0;8,2;0;4,23;0;0;0;1,49
"anunciar";0;2,19;0;0;0;1,65;0;0;0;0;0;0;0;4,23;0;0;0;1,49
"criminoso";0;0;0;0;0;1,65;0;4,09;0;0;2,15;0;3,68;2,82;0;0;0;5,97
"principalmente";0;2,19;0;0;0;1,65;8,06;2,73;0;0;0,72;8,2;0;1,88;0;0;0;5,97
"bandido";0;0;0;0;0;0,82;0;1,36;0;0;2,15;0;3,68;4,7;0;0;0;0
"policial";0;15,32;0;0;0;0;0;0;0;2,62;1,43;0;0;1,41;0;0;0;0
"manifestação";0;0;0;0;9,39;0;0;0;0;2,62;0,72;0;0;0;0;0;0;0
"olhar";0;0;0;0;1,17;1,65;0;0;0;0;2,15;0;1,84;1,41;0;0;0;8,96
"sentido";0;2,19;0;0;1,17;0,82;0;0;0;0;1,43;0;1,84;1,41;0;0;0;1,49
"plenário";0;0;5,15;8,2;0;1,65;0;10,91;0;0;2,87;32,79;5,51;2,35;0;5,95;0;1,49
"paraná";0;0;0;0;0;0;0;0;0;0;10,04;0;0;0;0;5,95;0;0
"renda";0;0;0;8,2;1,17;0;0;0;0;0;0,72;0;0;4,7;0;0;0;0
"potássio";0;0;0;0;0;0;0;0;0;0;2,87;0;0;0;0;0;0;8,96
"sair";0;0;0;0;2,35;0,82;8,06;1,36;0;0;0,72;0;1,84;1,88;0;0;0;4,48
"sras";0;2,19;0;0;0;0;0;5,46;0;0;0,72;0;1,84;1,88;0;0;0;1,49
"termo";0;2,19;5,15;0;0;0,82;0;5,46;0;0;1,43;0;0;1,88;0;0;0;0
"mínimo";10;0;0;8,2;0;0;0;1,36;0;5,25;0,72;0;3,68;0,47;0;0;0;0
"resposta";0;0;10,31;0;0;0;0;0;0;0;0;8,2;14,71;0,47;0;0;0;0
"falar";10;4,38;36,08;4,1;10,56;14,84;8,06;10,91;0;15,75;3,59;8,2;7,35;7,99;0;0;0;13,43
"concluir";0;0;0;16,39;0;1,65;0;1,36;0;0;0;0;0;1,41;0;0;0;1,49
"inclusão";0;0;0;0;3,52;0,82;0;1,36;0;0;0,72;0;0;1,88;0;0;0;0
"durante";0;2,19;0;0;0;2,47;0;0;0;0;0,72;0;1,84;0,47;0;0;0;4,48
"k";0;0;0;0;0;0;0;0;0;0;17,93;0;0;0;0;0;0;0
"ir";20;6,56;15,46;0;8,22;28,85;24,19;20,46;14,29;13,12;69,58;24,59;9,19;16,92;0;17,86;0;8,96
"órgão";0;0;0;4,1;0;0;0;0;0;5,25;9,33;0;0;0,47;0;0;0;0
"social";0;0;0;0;4,69;0;0;0;0;0;2,15;0;0;2,82;0;0;0;0
"rio_de_janeiro";0;10,94;0;0;1,17;13,19;0;1,36;0;0;12,91;0;11,03;4,23;0;5,95;0;1,49
"algum";0;0;5,15;0;2,35;2,47;8,06;5,46;0;5,25;2,15;8,2;0;1,41;0;0;0;0
"programa";10;8,75;0;4,1;5,87;3,3;0;0;0;0;0;8,2;3,68;21,15;0;17,86;0;1,49
"especialmente";0;4,38;0;4,1;1,17;0;0;1,36;0;0;1,43;0;0;0;0;5,95;0;4,48
"lutar";0;2,19;0;0;1,17;0,82;0;0;14,29;2,62;0;0;0;2,82;0;0;0;2,99
"antes";0;0;0;0;4,69;1,65;0;4,09;0;2,62;2,87;8,2;0;1,41;0;0;0;2,99
"ele";0;0;0;0;3,52;0,82;0;2,73;28,57;2,62;3,59;0;0;0,47;0;0;0;0
"assim";0;2,19;0;0;2,35;3,3;0;2,73;0;0;1,43;8,2;1,84;2,35;0;0;0;2,99
"deus";0;6,56;0;0;3,52;9,07;8,06;1,36;0;0;1,43;0;0;0;0;0;0;0
"matéria";0;0;0;0;1,17;0;0;8,19;0;0;0,72;8,2;1,84;0,94;0;5,95;0;2,99
"muito";0;8,75;5,15;12,3;1,17;1,65;0;0;0;2,62;0;8,2;0;0,47;0;0;0;0
"muita";0;6,56;0;4,1;3,52;2,47;8,06;2,73;0;2,62;3,59;8,2;5,51;2,35;0;0;0;2,99
"popular";0;2,19;0;0;0;0,82;0;0;0;0;0,72;0;0;2,82;0;0;0;1,49
"município";0;8,75;0;0;0;3,3;0;0;0;0;0;0;0;2,35;0;5,95;0;4,48
"ainda";0;2,19;0;20,49;3,52;1,65;8,06;4,09;14,29;0;2,87;0;3,68;1,41;0;0;0;0
"o";0;0;0;0;0;0;0;0;0;0;17,93;0;0;0;0;0;0;0
"algo";0;0;0;12,3;0;0;0;0;0;2,62;0,72;8,2;1,84;1,88;0;0;0;4,48
"jaboatão";0;0;0;0;0;0;0;13,64;0;0;0;0;0;0;0;0;0;0
"civil";0;0;0;0;0;0,82;0;0;0;0;2,15;0;7,35;0,47;0;5,95;0;0
"questão";0;4,38;0;0;1,17;1,65;8,06;0;0;0;1,43;0;5,51;3,29;0;0;0;0
"tribuna";10;6,56;0;0;18,78;1,65;0;5,46;0;5,25;10,04;16,39;3,68;1,41;0;5,95;0;5,97
"anderson";0;0;0;8,2;0;0;0;0;0;0;0,72;0;7,35;1,41;0;0;0;0
"gostar";20;0;5,15;8,2;0;2,47;0;0;0;0;1,43;0;0;1,88;0;5,95;0;4,48
"seguir";0;0;0;4,1;0;2,47;0;0;0;5,25;1,43;8,2;7,35;0,47;0;0;0;0
"minha_casa_minha_vida";0;15,32;0;0;0;0;0;0;0;0;0;0;0;11,28;0;0;0;0
"devido";0;0;10,31;0;0;4,95;8,06;0;0;0;0;0;0;0,47;0;0;0;0
"cumprir";0;0;5,15;0;0;3,3;0;0;14,29;0;0;0;0;1,88;0;0;0;1,49
"inclusive";0;0;5,15;8,2;1,17;0,82;0;4,09;14,29;0;2,87;8,2;1,84;6,58;0;0;0;0
"liberar";0;2,19;0;0;0;2,47;32,26;0;0;0;1,43;0;0;0,47;0;0;0;0
"tarde";0;2,19;5,15;0;1,17;0;0;1,36;0;5,25;1,43;8,2;1,84;0,94;0;5,95;0;1,49
"continuar";0;4,38;0;4,1;0;2,47;0;4,09;14,29;7,87;2,87;8,2;5,51;3,29;0;0;0;1,49
"mostrar";0;0;0;0;1,17;3,3;0;0;0;2,62;2,15;0;1,84;2,35;0;0;0;1,49
"apoio";10;2,19;0;4,1;1,17;0,82;0;0;0;0;0;0;0;3,76;0;0;0;0
"menos";0;4,38;0;4,1;2,35;0;0;0;0;2,62;0;8,2;3,68;1,41;0;0;0;1,49
"zona";0;0;0;0;0;4,95;0;0;0;2,62;0;0;0;0,94;0;0;0;1,49
"ver";0;6,56;10,31;0;2,35;2,47;0;5,46;0;7,87;5,74;0;5,51;4,23;0;0;0;7,46
"vez";0;4,38;5,15;0;3,52;6,6;16,13;1,36;0;0;5,74;0;3,68;4,23;0;5,95;0;1,49
"preciso";0;0;0;4,1;3,52;2,47;0;2,73;0;2,62;0;0;5,51;1,88;0;0;0;1,49
"quase";0;0;0;0;0;0;0;0;0;5,25;0;0;0;2,82;0;0;0;2,99
"minuto";0;0;0;4,1;21,13;2,47;0;19,1;0;0;10,04;0;1,84;0,94;0;0;0;0
"polícia_federal";0;0;0;4,1;0;0;0;0;0;0;0,72;0;3,68;2,82;0;0;0;2,99
"dia";0;2,19;5,15;4,1;1,17;6,6;8,06;8,19;0;0;3,59;8,2;7,35;5,64;0;11,9;0;7,46
"bahia";0;4,38;0;4,1;0;0;0;0;0;0;5,02;0;0;0,94;0;0;0;8,96
"situação";0;4,38;5,15;0;2,35;1,65;0;2,73;0;2,62;0;0;1,84;0,94;0;0;0;2,99
"inafiançável";0;0;0;0;0;4,95;0;1,36;0;0;1,43;0;0;0,94;0;0;0;0
"bom";0;0;0;4,1;8,22;3,3;0;2,73;0;5,25;2,15;0;0;2,35;0;0;0;1,49
"aprovação";0;0;0;0;1,17;0;0;5,46;0;5,25;0;24,59;0;0,47;0;0;0;0
"semana";0;2,19;5,15;0;1,17;0;0;0;0;0;0;0;1,84;1,41;0;5,95;0;2,99
"ontem";0;2,19;0;0;0;0;0;1,36;14,29;7,87;0;0;0;3,29;0;0;0;1,49
"tudo";0;2,19;5,15;0;4,69;3,3;0;0;0;0;0,72;0;0;3,29;0;5,95;0;2,99
"garantia";0;0;0;4,1;0;0;0;0;0;5,25;3,59;0;0;0,94;0;0;0;0
"audiência";0;4,38;0;0;0;4,95;0;2,73;0;5,25;0,72;0;0;0,47;0;0;0;4,48
"instituição";10;0;20,62;0;1,17;0;0;0;0;0;0;0;5,51;2,35;0;11,9;0;0
"palavra";0;0;0;0;35,21;4,12;0;12,28;0;0;17,93;0;0;0;0;0;0;0
"garantir";0;0;0;4,1;1,17;0;0;0;0;7,87;0;0;7,35;0,94;0;0;0;0
"nada";0;6,56;0;0;0;3,3;0;1,36;0;5,25;0;0;3,68;1,41;0;0;0;8,96
"trazer";0;0;0;0;1,17;1,65;0;1,36;0;5,25;1,43;24,59;0;1,88;0;0;0;0
"construir";0;0;0;8,2;0;1,65;0;0;0;0;0;0;0;1,41;0;0;0;4,48
"perder";0;0;0;0;1,17;0,82;0;0;0;0;0;0;1,84;2,82;0;0;0;1,49
"amazona";0;0;0;0;1,17;0,82;0;0;0;0;4,3;0;0;0;0;5,95;0;13,43
"colocar";0;2,19;10,31;0;0;0;0;6,82;0;0;0;0;7,35;2,35;0;0;0;1,49
"primeiro";0;0;5,15;0;2,35;0,82;0;2,73;0;2,62;1,43;0;1,84;2,82;0;0;0;1,49
"justiça";10;2,19;0;12,3;0;2,47;0;5,46;14,29;2,62;1,43;0;12,87;8,46;0;0;0;5,97
"esperar";0;2,19;0;4,1;0;2,47;0;2,73;0;7,87;0;0;11,03;0,94;0;0;0;1,49
"forma";0;4,38;0;0;1,17;1,65;0;5,46;0;2,62;4,3;0;3,68;2,35;0;0;0;1,49
"passar";10;4,38;0;0;1,17;1,65;0;2,73;0;0;5,74;8,2;0;4,23;0;0;0;7,46
"desde";0;2,19;0;0;2,35;0,82;0;0;0;0;4,3;0;3,68;1,88;0;0;0;2,99
"precisar";10;6,56;30,93;4,1;4,69;2,47;0;8,19;0;10,5;2,15;0;25,74;7,05;0;5,95;0;10,45
"resolução";0;0;0;0;0;3,3;0;4,09;0;13,12;0,72;0;0;0;0;0;0;1,49
"emprego";0;2,19;0;0;0;0,82;0;0;0;0;0,72;0;0;2,35;0;0;0;4,48
"ministro";0;10,94;10,31;12,3;2,35;0,82;0;2,73;0;2,62;4,3;0;12,87;0,94;0;0;0;4,48
"registrar";10;4,38;0;0;2,35;0;0;2,73;0;0;3,59;0;0;1,88;0;5,95;0;2,99
"comissão";0;0;0;0;2,35;1,65;0;4,09;0;15,75;2,15;49,18;0;1,41;0;5,95;0;1,49
"voto";20;8,75;5,15;8,2;0;4,12;0;6,82;0;0;3,59;0;5,51;0;0;0;0;1,49
"investimento";0;0;0;0;0;0,82;0;0;0;0;0,72;0;0;1,88;0;0;0;5,97
"fazer";20;19,69;41,24;16,39;21,13;23,91;32,26;21,83;14,29;26,25;11,48;8,2;23,9;22,56;0;23,81;200;28,36
"ano";0;13,13;5,15;4,1;1,17;9,89;8,06;0;0;5,25;2,87;8,2;5,51;5,17;0;0;0;11,94
