"";"X.partido_AVANTE";"X.partido_MDB";"X.partido_NOVO";"X.partido_PCdoB";"X.partido_PDT";"X.partido_PL";"X.partido_PODE";"X.partido_PP";"X.partido_PRD";"X.partido_PSB";"X.partido_PSD";"X.partido_PSDB";"X.partido_PSOL";"X.partido_PT";"X.partido_REDE";"X.partido_REPUBLICANOS";"X.partido_SOLIDARIEDADE";"X.partido_UNIÃO"
"adv";6,54;47,24;64,31;93,22;48,7;56,44;24,9;48,95;69,77;51,18;49,73;59,7;53,69;50,89;333,33;30;0;50,83
"nom";437,91;458,53;318,33;415,25;388,93;378,73;468,88;414,14;294,57;361;369,09;407,96;381,43;407,96;0;420;454,55;409,17
"pre";58,82;20,74;6,43;33,9;18,68;22,85;24,9;19,43;54,26;24,9;29,59;39,8;38,03;25,45;0;30;0;33,33
"ver";235,29;179,72;279,74;173,73;192,13;204,76;149,38;204,35;224,81;190,87;172,22;169,15;221,48;186,52;333,33;170;90,91;190,83
"ono";0;0;0;2,12;0;0;0;0;7,75;0;0;0;0;0,54;0;0;0;0
"pro_per";0;1,15;0;0;0;0,93;0;0;0;2,77;0;0;0;0;0;0;0;0
"ver_sup";52,29;27,65;125,4;14,83;34,69;64,37;41,49;47,4;23,26;49,79;62,47;34,83;40,27;46,02;0;23,33;90,91;44,17
"nom_sup";19,61;9,22;12,86;4,24;19,35;10,73;16,6;22,53;85,27;17,98;21,78;14,93;15,66;17,87;0;16,67;0;10
"art_def";0;0;0;0;2;0,93;0;1,55;15,5;1,38;12,33;0;0;0,81;0;0;0;0
"adj_num";6,54;8,06;6,43;21,19;7,34;7;4,15;6,22;0;22,13;5,75;4,98;5,59;17,05;0;0;0;7,5
"pro_int";0;0;0;2,12;1,33;0,47;0;0;0;0;0,82;0;0;1,35;0;0;0;0
"num";0;0;0;0;0;1,87;4,15;0,78;0;1,38;2,88;0;0;0;0;0;0;0
"adj ";6,54;0;0;0;0;0;0;0;0;5,53;0;0;0;1,08;0;3,33;0;0,83
"nr";84,97;80,65;57,88;65,68;133,42;93,75;116,18;104,9;54,26;80,22;131,94;69,65;99,55;92,85;333,33;123,33;181,82;107,5
"pro_ind";39,22;31,11;32,15;29,66;16,01;28,45;41,49;20,2;23,26;27,66;24,25;54,73;24,61;27,07;0;30;90,91;24,17
"adj";52,29;130,18;96,46;139,83;132,09;125;103,73;107,23;147,29;156,29;110,15;144,28;117,45;120,47;0;153,33;90,91;119,17
"conj";0;5,76;0;4,24;5,34;3,73;4,15;1,55;0;6,92;6,17;0;2,24;3,52;0;0;0;0,83
"adv_sup";0;0;0;0;0;0;0;0,78;0;0;0,82;0;0;0,54;0;0;0;1,67
