"";"*partido_AVANTE";"*partido_MDB";"*partido_NOVO";"*partido_PCdoB";"*partido_PDT";"*partido_PL";"*partido_PODE";"*partido_PP";"*partido_PRD";"*partido_PSB";"*partido_PSD";"*partido_PSDB";"*partido_PSOL";"*partido_PT";"*partido_REDE";"*partido_REPUBLICANOS";"*partido_SOLIDARIEDADE";"*partido_UNIÃO"
"tratar";1;0;0;2;3;4;0;4;0;1;7;0;2;13;0;0;0;1
"presente";0;0;0;0;2;2;0;8;0;0;4;0;0;2;0;0;0;2
"eminente";0;0;0;0;11;0;0;0;0;0;1;0;0;0;0;0;0;0
"segurança";0;3;0;0;0;7;0;1;0;0;0;0;1;4;0;0;0;4
"hora";2;0;0;0;1;1;0;3;0;0;3;0;5;1;0;0;0;2
"n";1;0;0;0;0;0;2;7;0;1;6;2;0;3;0;1;0;1
"prerrogativa";0;0;0;0;0;1;0;2;0;0;6;0;0;0;0;0;0;2
"tipo";0;0;0;0;0;1;0;0;0;4;0;0;1;11;0;0;0;0
"sobre";0;2;1;3;3;8;1;4;0;2;3;0;2;8;0;1;0;3
"cidade";0;10;0;5;1;6;8;6;0;3;5;0;0;12;0;0;0;12
"parlamento";1;2;0;0;7;2;0;1;0;0;1;0;5;3;0;0;0;0
"silvestre";0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0
"outro";2;2;1;0;4;4;1;1;0;1;6;3;2;13;0;0;0;2
"saber";0;3;1;0;4;11;0;3;0;2;5;0;3;15;0;1;0;1
"pouco";0;1;0;2;0;2;0;1;0;1;5;0;1;0;0;0;0;1
"além";1;0;0;0;0;1;1;1;0;2;5;0;1;4;0;0;0;1
"política";0;3;0;0;1;6;0;0;0;2;1;0;0;8;0;0;0;0
"político";0;1;0;0;0;3;0;0;0;1;0;0;1;3;0;1;0;1
"área";0;3;0;0;1;0;0;0;0;0;2;1;0;8;0;0;0;1
"defensoria_pública";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;9;0;0
"mesa";0;1;0;0;6;0;0;1;0;1;1;1;0;1;0;0;0;1
"passado";0;0;0;1;2;2;0;0;0;1;1;0;0;6;0;0;0;2
"liberdade";0;0;4;1;1;2;0;3;0;0;1;0;0;2;0;0;0;2
"flagrante";0;0;0;0;0;9;0;1;0;0;3;0;2;1;0;0;0;0
"próprio";0;1;0;1;1;1;0;3;1;0;2;0;1;3;0;0;0;0
"fim";0;1;2;0;1;0;0;0;0;2;0;0;0;4;0;0;0;1
"santa_catarina";0;7;0;0;3;1;0;0;0;0;3;0;0;0;0;0;0;0
"necessário";0;0;0;0;1;1;0;2;0;1;2;0;2;2;0;0;0;0
"brasileiro";1;4;3;1;5;8;3;5;0;4;5;0;9;14;0;5;0;1
"urbano";0;2;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0
"estadual";0;2;0;0;1;3;2;0;0;0;0;0;0;2;0;1;0;2
"acontecer";0;4;3;0;2;4;0;3;1;0;1;0;4;5;0;0;0;4
"realizar";1;0;0;0;1;0;0;1;0;2;0;0;0;5;0;0;0;2
"ato";0;0;0;0;0;6;0;0;0;0;4;0;0;2;0;0;0;0
"deixar";0;2;0;1;2;0;0;2;0;2;2;0;0;6;0;0;0;0
"compromisso";0;4;0;0;1;1;0;0;0;0;0;0;1;3;0;0;0;0
"movimento";0;0;0;1;2;1;0;0;0;1;0;0;0;7;0;0;0;0
"gerar";0;0;0;0;1;3;0;0;0;0;3;0;0;6;0;0;0;2
"segundo";0;1;0;3;0;4;0;2;0;0;0;0;1;4;0;0;0;0
"parabéns";0;0;0;0;10;2;0;0;0;0;5;1;0;6;0;1;0;1
"investigação";0;0;0;1;0;0;0;0;0;0;4;0;4;2;0;0;0;1
"honra";0;1;0;0;2;5;0;0;0;0;6;0;0;0;0;0;0;0
"conceder";0;0;0;0;13;0;0;6;2;0;1;0;0;0;0;0;0;0
"dois";0;1;1;1;4;4;0;2;0;6;3;0;2;5;0;0;0;1
"acusar";0;1;0;0;0;2;0;0;0;4;0;0;1;1;0;0;0;1
"grave";0;1;0;2;0;1;0;0;2;5;0;0;0;0;0;0;0;0
"trabalhador";0;0;0;0;0;1;0;1;0;1;1;9;0;12;0;0;0;0
"feira";0;0;0;0;0;0;0;0;0;0;0;1;0;9;0;0;0;1
"anunciar";0;1;0;0;0;2;0;0;0;0;0;0;0;9;0;0;0;1
"criminoso";0;0;0;0;0;2;0;3;0;0;3;0;2;6;0;0;0;4
"principalmente";0;1;0;0;0;2;1;2;0;0;1;1;0;4;0;0;0;4
"bandido";0;0;0;0;0;1;0;1;0;0;3;0;2;10;0;0;0;0
