"";"X.partido_AVANTE";"X.partido_MDB";"X.partido_NOVO";"X.partido_PCdoB";"X.partido_PDT";"X.partido_PL";"X.partido_PODE";"X.partido_PP";"X.partido_PRD";"X.partido_PSB";"X.partido_PSD";"X.partido_PSDB";"X.partido_PSOL";"X.partido_PT";"X.partido_REDE";"X.partido_REPUBLICANOS";"X.partido_SOLIDARIEDADE";"X.partido_UNIÃO"
"tratar";0,4756;-0,8241;-0,3448;0,5866;-0,2643;-0,3505;-0,2196;0,4635;-0,1236;-0,2672;0,4817;-0,216;-0,2066;1,158;-0,0035;-0,2982;-0,0088;-0,6285
"presente";-0,093;-0,4333;-0,1813;-0,2287;0,2576;-0,2898;-0,1154;4,1482;-0,065;-0,3597;0,4636;-0,1136;-0,5183;-0,8661;-0,0018;-0,1568;-0,0046;0,3743
"eminente";-0,0558;-0,2599;-0,1087;-0,1371;10,4537;-0,7204;-0,0692;-0,4233;-0,039;-0,2157;-0,3467;-0,0681;-0,3108;-1,3384;-0,0011;-0,094;-0,0028;-0,3856
"segurança";-0,093;1,1524;-0,1813;-0,2287;-0,8261;2,0062;-0,1154;-0,2753;-0,065;-0,3597;-1,3956;-0,1136;-0,1698;-0,2889;-0,0018;-0,1568;-0,0046;1,3043
"hora";1,8142;-0,3899;-0,1632;-0,2058;-0,2966;-0,5161;-0,1039;0,7931;-0,0585;-0,3237;0,2906;-0,1022;2,5367;-1,2105;-0,0017;-0,1411;-0,0042;0,4308
"n";0,6447;-0,5201;-0,2176;-0,2744;-0,9915;-1,4418;1,4042;2,7409;-0,078;0,2007;0,8743;1,4171;-0,6221;-0,7603;-0,0022;0,4539;-0,0056;-0,3173
"prerrogativa";-0,0511;-0,2382;-0,0997;-0,1257;-0,4541;-0,2401;-0,0635;0,6785;-0,0357;-0,1978;2,6049;-0,0624;-0,2849;-1,2268;-0,001;-0,0862;-0,0025;0,7393
"tipo";-0,079;-0,3682;-0,1541;-0,1943;-0,702;-0,4739;-0,0981;-0,5999;-0,0552;2,3817;-1,1861;-0,0965;0,1956;3,6135;-0,0016;-0,1332;-0,0039;-0,5464
"sobre";-0,1908;0,2223;0,24;1,0475;-0,3156;0,8218;0,3763;0,3995;-0,1334;0,3015;-0,9092;-0,2331;-0,2412;-0,4006;-0,0038;0,2812;-0,0095;0,2461
"cidade";-0,317;2,8135;-0,618;1,5037;-1,9223;-0,6809;5,5553;0,3574;-0,2215;0,2804;-1,3038;-0,3871;-1,7668;-0,694;-0,0063;-0,5344;-0,0158;2,5514
"parlamento";0,6781;0,5371;-0,1995;-0,2515;2,6058;-0,3503;-0,127;-0,3194;-0,0715;-0,3957;-0,8505;-0,1249;2,1323;-0,6346;-0,002;-0,1725;-0,0051;-0,7072
"silvestre";-0,0465;-0,2165;-0,0906;-0,1143;-0,4128;-0,6003;-0,0577;-0,3527;-0,0325;-0,1798;-0,6974;-0,0568;-0,259;6,4591;-9e-04;-0,0784;-0,0023;-0,3213
"outro";1,1349;-0,1771;0,2334;-0,4807;0,2708;-0,4509;0,3684;-0,8243;-0,1366;-0,3119;-0,2464;1,771;-0,2532;0,8685;-0,0039;-0,3296;-0,0097;-0,381
"saber";-0,2282;0,3683;-0,1357;-0,5611;-0,2682;1,3518;-0,2833;-0,3353;-0,1595;0,2245;-0,6092;-0,2787;0,2633;0,9089;-0,0045;0,2309;-0,0114;-0,8981
