"";"X.partido_AVANTE";"X.partido_MDB";"X.partido_NOVO";"X.partido_PCdoB";"X.partido_PDT";"X.partido_PL";"X.partido_PODE";"X.partido_PP";"X.partido_PRD";"X.partido_PSB";"X.partido_PSD";"X.partido_PSDB";"X.partido_PSOL";"X.partido_PT";"X.partido_REDE";"X.partido_REPUBLICANOS";"X.partido_SOLIDARIEDADE";"X.partido_UNIÃO"
"adv";-2,5649;-0,5135;0,7353;3,9576;-0,4927;0,8178;-1,5017;-0,4494;0,6526;-0,2827;-0,4615;0,4632;0,3881;-0,3671;0,8326;-1,3044;-0,2533;-0,3162
"nom";0,7968;4,2148;-2,5678;0,7013;-0,5175;-1,3296;1,9315;1,0896;-1,9645;-1,5481;-2,6823;0,4163;-0,7017;1,3899;-0,6558;0,6853;0,3423;0,7849
"pre";1,7033;-0,7566;-1,9672;0,7451;-1,5438;-0,7899;-0,2577;-1,2114;1,269;-0,3304;0,8279;0,7954;1,7087;-0,4111;-0,0347;0,4088;-0,1272;1,1496
"ver";0,9839;-0,7217;4,0323;-0,7661;0,3045;1,264;-1,2879;0,9075;0,7052;-0,3025;-2,3921;-0,6276;1,9086;-0,7303;0,326;-0,7281;-0,4597;-0,3148
"ono";-0,0161;-0,0935;-0,0329;0,9617;-0,1648;-0,2408;-0,0255;-0,1405;1,5115;-0,0775;-0,276;-0,0212;-0,0964;0,6633;-3e-04;-0,0318;-0,0012;-0,1307
"pro_per";-0,0202;0,6271;-0,0412;-0,0628;-0,206;0,892;-0,0318;-0,1757;-0,017;1,7588;-0,345;-0,0265;-0,1205;-0,548;-4e-04;-0,0397;-0,0014;-0,1633
"ver_sup";0,3312;-2,9532;7,2734;-4,1831;-2,3991;3,5923;-0,4276;-0,3425;-0,9133;0,3355;3,3296;-0,6295;-0,874;-0,6519;-0,0648;-1,7009;0,3751;-0,5899
"nom_sup";0,3208;-1,395;-0,4024;-1,8918;0,6156;-2,0595;-0,2097;1,1779;4,9328;0,3516;1,5577;-0,2516;-0,3413;0,5033;-0,0221;-0,2172;-0,0812;-1,5284
"art_def";-0,1735;-1,0066;-0,3544;-0,5406;-0,3505;-1,1532;-0,2741;-0,4683;1,3549;-0,3621;15,3484;-0,2283;-1,0376;-2,1365;-0,0034;-0,3418;-0,0124;-1,4064
"adj_num";-0,2562;-0,4273;-0,391;1,7325;-0,726;-1,0437;-0,5073;-0,9775;-0,5562;2,6809;-1,868;-0,3883;-0,9194;5,7805;-0,0129;-1,3004;-0,0473;-0,6047
"pro_int";-0,0443;-0,2572;-0,0906;0,5647;0,5813;-0,2414;-0,07;-0,3865;-0,0374;-0,2133;0,3046;-0,0583;-0,2652;1,1195;-9e-04;-0,0873;-0,0032;-0,3594
"num";-0,0564;-0,3274;-0,1153;-0,1759;-0,577;1,0148;0,7315;-0,1535;-0,0476;0,3327;2,7126;-0,0743;-0,3375;-1,535;-0,0011;-0,1112;-0,004;-0,4575
"adj ";1,0129;-0,2572;-0,0906;-0,1382;-0,4533;-0,6625;-0,07;-0,3865;-0,0374;3,0319;-0,7592;-0,0583;-0,2652;0,6665;-9e-04;0,7395;-0,0032;0,2496
"nr";-0,5405;-1,8267;-2,4418;-2,4989;4,4364;-1,0881;0,5716;0,4018;-1,4022;-1,6444;6,5474;-1,1454;-0,3862;-1,8241;0,5576;0,8697;0,5043;0,5392
"pro_ind";0,6767;0,7066;0,5306;0,4565;-2,3561;0,6021;0,9974;-1,0187;-0,2481;0,3707;-0,5278;1,7794;-0,3548;0,4526;-0,0344;0,4175;0,598;-0,4246
"adj";-2,5113;0,6399;-1,0146;0,9023;0,9758;0,4995;-0,6434;-1,2794;0,6583;2,5529;-1,5035;0,7258;-0,4321;-0,3837;-0,169;1,2393;-0,2177;-0,3836
"conj";-0,2503;0,6494;-0,5113;0,2749;0,709;-0,2299;0,2235;-0,8863;-0,2109;0,8752;1,4925;-0,3294;-0,4656;-0,3267;-0,0049;-0,4931;-0,0179;-1,2609
"adv_sup";-0,0282;-0,1637;-0,0576;-0,0879;-0,2884;-0,4215;-0,0446;0,3641;-0,0238;-0,1357;0,5611;-0,0371;-0,1687;0,3137;-6e-04;-0,0556;-0,002;1,064
